#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      281.0   135.1   101.3   163.0   178.0   258.2   300.9   326.1   345.3   371.0   405.6   462.2   593.7  1592.4  4332.9  29947.4    30000  1777976972330  1777976982482
read      274.4   131.7   101.3   159.7   174.3   253.4   295.2   319.8   339.2   363.1   395.3   449.1   570.2  1198.5  4746.3  30056.0    30005  1777976984001  1777976994128
read      295.9   301.5    93.8   160.8   176.2   261.1   305.8   332.8   354.4   383.3   424.8   495.1   734.7  4283.1 14109.1  29992.1    30010  1777976995644  1777977005770
read      282.2   223.0   101.3   158.0   172.5   253.7   297.7   324.0   344.1   369.9   404.9   468.6   646.8  2382.4  9319.3  29990.8    30015  1777977007295  1777977017432
read      274.4   348.1   101.3   152.4   165.0   237.7   279.1   303.2   320.7   343.5   375.4   438.2   731.6  5113.1 14132.4  30014.1    30020  1777977018956  1777977029082
read      287.5   294.3   101.3   154.5   167.8   249.2   293.7   318.9   338.7   363.9   399.9   481.3   832.0  4927.0 10032.7  30090.9    30025  1777977030600  1777977040773
read      283.4   359.4   101.3   153.8   166.9   245.8   289.0   313.5   332.1   355.2   388.6   453.1   755.3  6050.3 13430.3  30008.2    30030  1777977042299  1777977052472
read      264.5   229.4   101.3   151.9   163.9   234.6   275.7   299.7   317.1   338.6   367.7   420.7   622.1  3663.9  8519.0  29916.0    30035  1777977053996  1777977064177
read      255.7   201.1   101.3   150.3   161.5   226.7   266.1   290.3   308.1   329.3   358.9   413.3   623.1  2680.8  7922.7  30027.2    30040  1777977065697  1777977075820
read      287.4   422.6   101.3   154.1   167.4   244.4   286.4   310.5   328.5   351.4   387.4   455.1   805.6  6537.7 17392.9  30100.0    30045  1777977077345  1777977087471
read      280.0   423.4   101.3   150.7   163.0   234.7   277.9   302.9   320.6   344.0   378.1   447.8   791.4  6727.6 15804.3  30092.7    30050  1777977088994  1777977099192
read      279.8   306.2   101.3   154.8   168.1   246.0   288.7   313.2   331.9   356.1   392.2   460.7   716.7  3812.2 14639.8  30048.2    30055  1777977100716  1777977110826
read      269.0   162.1    93.8   153.3   166.0   241.5   284.9   309.9   328.4   351.7   386.1   448.3   645.6  2307.5  5498.2  30108.2    30060  1777977112343  1777977122466
read      268.4   154.7   101.3   154.7   167.7   242.7   284.8   309.4   327.5   349.7   382.6   440.2   625.7  2132.4  5537.0  30041.1    30065  1777977123983  1777977134092
read      260.2   144.4   101.3   152.8   165.3   236.7   277.1   300.3   317.3   338.3   366.7   418.1   575.8  2122.3  4751.9  29956.2    30070  1777977135608  1777977145713
read      281.8   157.0    93.8   155.3   169.2   249.7   294.3   320.4   342.0   371.0   416.4   500.6   802.8  1561.2  4691.8  29977.6    30075  1777977147228  1777977157336
read      263.4   117.3    93.8   154.6   168.4   242.6   283.3   307.3   324.6   346.2   378.7   435.2   550.4   964.0  3576.2  30081.6    30080  1777977158850  1777977168955
read      260.9   110.7    93.8   150.6   164.1   240.5   283.1   308.1   326.2   348.1   379.6   430.6   542.5   877.2  3882.6  30013.1    30085  1777977170471  1777977180575
read      250.3   123.0    93.8   144.3   156.9   228.4   268.5   292.7   310.8   332.9   363.7   417.0   546.3  1097.5  4368.7  30144.5    30090  1777977182090  1777977192194
read      267.1   114.6    93.8   154.7   169.1   246.6   286.8   310.6   328.8   352.5   388.3   448.6   567.6   975.9  3764.5  30098.1    30095  1777977193711  1777977203811
read      263.9   110.6    93.8   152.1   165.9   243.3   285.3   310.0   328.5   351.9   385.6   439.6   551.2   896.4  3289.1  30118.7    30100  1777977205326  1777977215442
read      252.5   117.9   101.3   152.2   164.7   234.2   272.2   293.8   309.8   328.8   354.9   398.8   517.1   960.1  3643.0  30093.1    30105  1777977216963  1777977227068
read      246.5    95.7   101.3   152.7   164.7   229.3   264.4   285.2   300.0   318.1   342.8   386.3   502.1  1065.8  3030.5  30101.4    30110  1777977228581  1777977238686
read      246.8   114.7   101.3   151.5   163.2   228.3   264.9   287.1   303.3   322.0   347.1   390.1   495.8   988.9  3917.5  30153.0    30115  1777977240200  1777977250302
read      249.5   115.5   101.3   151.3   163.3   230.7   268.7   290.8   307.0   325.9   351.4   393.4   504.5  1219.6  4318.5  30147.8    30120  1777977251817  1777977261922
