#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      279.8   126.7    86.8   163.4   180.4   261.2   298.7   321.5   340.2   363.3   394.9   450.1   579.9  1398.9  4612.8  29937.3    30000  1778366445312  1778366455476
read      279.5   118.8   101.3   173.4   188.8   264.7   299.1   319.5   335.8   355.2   381.1   423.7   530.2  1278.2  4702.1  30133.7    30005  1778366456992  1778366467127
read      283.1   114.4    86.8   169.8   186.8   267.6   304.7   326.6   343.3   365.1   393.2   437.8   555.7   987.2  4247.3  30136.3    30010  1778366468641  1778366478744
read      281.5   136.3   101.3   171.1   188.0   266.9   302.4   323.0   339.5   359.4   385.2   426.0   523.5  1483.4  5982.6  29997.8    30015  1778366480259  1778366490363
read      281.9   126.8    93.8   175.4   191.0   267.7   302.2   322.4   338.7   358.3   384.0   424.3   523.9  1167.4  5233.0  29958.5    30020  1778366491879  1778366501980
read      269.2   108.9    86.8   163.0   177.9   253.4   289.3   311.1   327.5   347.4   374.8   420.5   532.8   891.5  3938.0  30101.7    30025  1778366503495  1778366513601
read      289.3   148.4   101.3   171.8   188.3   270.3   308.4   331.2   348.2   370.5   399.6   450.0   590.1  1897.0  6019.9  29985.9    30030  1778366515117  1778366525221
read      267.7   159.2    93.8   168.1   182.9   254.7   287.3   306.5   320.1   338.8   362.9   399.0   483.7   922.1  5121.5  30079.4    30035  1778366526736  1778366536842
read      261.8   100.0    86.8   162.8   177.3   248.8   281.8   301.0   315.8   334.5   359.1   396.9   482.9   850.0  3866.1  30044.4    30040  1778366538358  1778366548458
read      275.7   115.9   101.3   169.0   185.2   262.3   297.0   317.7   333.8   352.7   377.2   417.2   509.5   935.6  4227.9  30080.4    30045  1778366549973  1778366560074
read      277.7   111.9   101.3   167.1   183.6   262.2   297.3   318.8   336.0   356.7   384.8   430.6   549.4  1095.5  3732.6  30007.8    30050  1778366561588  1778366571691
read      274.2   128.1    93.8   161.9   177.5   255.7   292.5   315.1   332.9   355.1   386.5   440.2   579.8   890.6  4903.2  29972.4    30055  1778366573206  1778366583318
