#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      251.3   176.9    80.4   127.9   141.6   221.1   265.0   290.5   309.9   333.6   367.0   430.9   735.2  2714.9  5516.5  30002.8    30000  1778188380998  1778188391082
read      241.5   157.1    80.4   127.4   140.5   216.9   257.6   281.4   298.8   319.6   348.0   398.8   626.0  2443.2  4055.7  30013.3    30005  1778188392595  1778188402663
read      250.9   158.2    80.4   128.1   142.3   224.6   268.3   293.9   313.4   337.2   369.2   427.6   668.6  2165.3  4728.8  29960.5    30010  1778188404174  1778188414230
read      235.4   154.3    80.4   126.2   139.0   211.8   250.0   272.9   290.3   311.3   339.3   388.3   586.4  2435.8  4942.0  29893.7    30015  1778188415742  1778188425797
read      241.8   142.8    74.4   127.0   140.6   218.3   260.6   285.2   303.1   324.0   353.9   404.1   604.9  1992.2  4108.4  29983.8    30020  1778188427310  1778188437365
read      240.4   166.7    80.4   126.4   139.3   213.5   253.9   278.5   296.0   317.9   348.4   403.2   644.2  2711.1  5094.8  29992.9    30025  1778188438877  1778188448935
read      243.7   171.7    80.4   123.5   137.2   216.8   259.7   284.3   302.6   324.8   355.8   413.5   660.7  2381.3  6385.9  29929.2    30030  1778188450448  1778188460502
read      243.0   149.1    80.4   125.7   139.2   217.1   259.8   285.1   303.5   325.4   356.6   412.9   656.1  2034.0  4941.3  29941.4    30035  1778188462014  1778188472067
read      241.5   154.4    80.4   125.2   138.5   216.2   258.7   283.3   301.2   322.3   353.3   408.5   627.9  2253.6  4507.2  30062.7    30040  1778188473581  1778188483637
read      246.3   158.0    80.4   127.2   140.7   220.8   264.2   289.1   307.5   330.0   361.2   416.0   640.6  2265.2  4865.1  30030.4    30045  1778188485151  1778188495206
read      258.2   181.2    80.4   129.7   144.3   228.3   273.9   300.3   319.9   344.4   378.6   442.9   725.9  2889.3  6063.2  29933.3    30050  1778188496718  1778188506775
read      245.9   142.1    80.4   128.5   142.3   221.9   264.8   290.3   309.1   331.7   362.8   418.3   625.3  1547.2  4814.7  29964.7    30055  1778188508288  1778188518346
read      238.6   127.8    74.4   128.7   142.0   217.5   258.8   283.4   301.1   322.2   350.9   398.4   545.8  1317.6  3837.2  30105.5    30060  1778188519857  1778188529911
read      581.1   722.5    74.4   142.7   163.6   318.5   464.6   597.4   761.5  1050.2  1389.1  1872.6  3640.3  6389.1  7783.9  30085.9    30065  1778188531423  1778188541477
read      268.8   137.0    74.4   134.8   151.5   242.1   293.3   324.1   346.9   373.5   407.3   464.3   652.1  1620.7  3489.1  30055.5    30070  1778188542988  1778188553042
read      252.3   115.8    74.4   124.9   140.9   231.2   279.0   307.2   327.4   351.6   383.3   433.9   585.2  1061.9  2703.5  29975.2    30075  1778188554555  1778188564609
read      250.4   115.9    74.4   126.0   142.1   229.1   276.8   305.6   326.7   351.9   382.9   429.5   547.3   945.5  3185.0  30149.4    30080  1778188566122  1778188576176
read      236.6    97.9    80.4   125.8   140.7   217.8   256.6   281.5   301.4   326.5   359.8   406.0   503.9   737.2  2725.5  30106.3    30085  1778188577691  1778188587746
read      230.3    91.0    74.4   128.9   142.1   214.5   251.7   273.9   290.7   310.7   336.6   376.4   473.5   778.1  2406.9  30180.4    30090  1778188589258  1778188599314
read      241.2   110.7    80.4   131.8   146.2   224.0   263.4   286.8   304.0   324.4   351.5   393.7   502.2  1124.3  3314.8  30041.4    30095  1778188600826  1778188610881
read      231.7   112.0    80.4   129.7   143.1   215.8   253.4   275.1   291.7   310.8   335.2   372.6   468.3   801.2  5997.9  30102.6    30100  1778188612393  1778188622451
read      233.5    98.3    80.4   129.4   142.8   218.3   256.6   278.8   294.7   313.9   338.6   376.6   473.9   911.8  3089.4  30155.6    30105  1778188623965  1778188634019
read      230.0    99.6    80.4   132.5   145.5   214.9   251.0   272.2   287.6   305.5   328.8   366.2   457.1   942.4  2870.8  30154.0    30110  1778188635531  1778188645586
read      229.5    97.2    80.4   128.2   141.2   214.1   251.4   273.2   289.6   308.9   333.6   371.8   470.4   759.5  3563.7  30126.9    30115  1778188647098  1778188657155
read      224.3    81.3    86.8   129.3   141.8   211.0   245.9   267.2   282.3   299.8   322.4   359.6   440.6   611.2  2172.7  29995.0    30120  1778188658668  1778188668724
read      247.7    97.9    80.4   136.2   151.0   230.0   271.7   296.8   315.7   338.2   367.0   409.3   504.5   719.4  2746.2  30089.8    30125  1778188670237  1778188680292
read      251.0   104.8    80.4   138.8   153.8   233.3   273.9   298.3   317.3   340.2   369.2   413.1   508.4   805.0  3467.2  30182.4    30130  1778188681806  1778188691864
read      251.6    99.3    80.4   138.8   153.4   233.7   277.8   303.8   321.7   344.2   371.7   413.3   506.2   720.9  2614.2  30056.8    30135  1778188693376  1778188703431
read      252.6    99.8    74.4   134.4   150.9   233.1   277.8   305.5   325.9   350.1   380.4   425.1   523.4   756.3  2372.8  30132.0    30140  1778188704943  1778188715001
read      235.0    99.1    80.4   131.4   145.6   219.3   257.9   280.8   297.2   317.4   343.1   383.2   466.2   639.1  2939.9  30192.2    30145  1778188716516  1778188726570
read      246.1    94.1    80.4   134.9   150.5   229.8   269.9   294.6   313.5   336.1   364.7   406.0   499.2   672.0  2225.5  30123.2    30150  1778188728081  1778188738137
