#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      252.0   189.1    80.4   128.1   141.9   222.0   265.0   289.9   308.6   331.7   364.4   428.7   712.3  2942.8  6147.8  29878.3    30000  1778189823158  1778189833243
read      255.1   157.7    80.4   131.1   145.4   226.5   270.2   296.1   316.1   340.7   374.6   445.0   710.5  2325.6  4330.6  30024.8    30005  1778189834757  1778189844829
read      258.6   165.8    80.4   130.4   145.1   229.2   273.9   300.6   320.3   345.9   382.8   453.2   720.4  2303.0  4992.8  29944.4    30010  1778189846342  1778189856400
read      352.9   394.7    80.4   135.0   151.4   253.2   315.4   361.3   404.3   484.3   617.2   870.3  1874.7  5809.1  6959.6  29960.9    30015  1778189857914  1778189867970
read      272.0   166.5    80.4   133.3   149.0   238.8   288.5   318.0   341.1   370.1   412.5   503.7   773.1  2080.8  4355.4  30059.6    30020  1778189869483  1778189879537
read      266.4   176.0    80.4   133.0   148.7   234.2   280.6   309.1   330.8   358.0   396.1   471.5   754.8  2834.1  4852.5  30006.9    30025  1778189881049  1778189891104
read      273.7   184.1    74.4   132.1   148.3   239.0   288.2   317.9   340.9   369.4   409.9   498.4   814.0  2614.7  5680.9  30084.2    30030  1778189892618  1778189902673
read      266.7   165.7    80.4   132.8   148.8   236.8   283.6   311.6   333.3   360.4   398.6   472.0   729.0  2219.0  4992.3  30040.6    30035  1778189904187  1778189914243
read      257.8   170.4    80.4   130.9   145.4   227.5   272.1   298.8   318.9   344.2   380.6   450.7   722.1  2529.0  5515.2  30059.0    30040  1778189915756  1778189925810
read      261.7   175.0    80.4   133.2   148.6   231.8   276.2   303.5   324.0   349.6   386.0   452.5   721.2  2417.6  6083.6  30030.0    30045  1778189927324  1778189937380
read      253.5   143.8    80.4   130.1   144.2   227.0   271.4   297.1   317.0   341.2   374.7   443.0   688.1  1805.8  4038.3  30095.9    30050  1778189938893  1778189948951
read      254.5   161.5    80.4   129.8   144.1   226.6   270.5   296.2   316.1   341.1   375.2   440.5   686.5  2298.2  4903.6  30056.4    30055  1778189950464  1778189960523
read      258.2   155.6    80.4   129.8   144.8   230.7   276.6   304.5   324.5   348.9   384.7   449.1   686.2  2011.5  4975.0  30081.7    30060  1778189962036  1778189972093
read      273.1   126.2    80.4   141.5   158.3   252.4   299.7   326.8   346.4   371.3   403.5   462.9   631.1  1129.7  3837.7  30167.3    30065  1778189973607  1778189983665
read      417.4   465.0    86.8   145.4   164.7   284.6   361.3   419.2   477.8   573.8   781.3  1226.9  2266.6  6149.2  7271.1  30074.7    30070  1778189985179  1778189995234
read      265.2   127.0    80.4   130.7   147.7   243.4   292.0   320.4   342.1   368.1   401.3   459.2   625.4  1078.9  3799.3  30125.9    30075  1778189996747  1778190006803
read      281.6   130.1    80.4   141.2   159.6   257.2   308.0   338.5   361.5   389.1   426.2   493.5   683.3  1116.4  3209.0  30163.2    30080  1778190008316  1778190018374
read      272.5   127.1    80.4   136.2   154.3   249.2   298.2   327.6   349.3   375.7   412.2   471.9   655.9  1090.8  3356.2  30121.1    30085  1778190019888  1778190029945
read      277.8   127.4    80.4   139.6   157.6   254.3   303.9   334.1   356.8   384.3   421.1   485.8   665.6  1066.0  2995.2  29939.4    30090  1778190031459  1778190041516
read      245.8   106.2    74.4   131.6   146.8   226.7   267.9   292.7   311.5   334.1   364.0   412.9   565.1   846.8  3035.8  30023.9    30095  1778190043029  1778190053084
read      249.4   117.0    80.4   133.2   148.4   229.2   271.1   296.0   314.9   337.8   367.5   417.1   584.6   988.2  3416.1  30021.7    30100  1778190054597  1778190064653
read      261.9   121.8    80.4   138.4   153.7   239.4   284.1   310.5   330.2   354.3   387.5   445.9   646.2  1071.9  3609.4  30025.9    30105  1778190066166  1778190076224
read      255.6   115.9    86.8   136.8   151.9   235.2   278.0   302.6   320.4   343.1   373.4   429.2   620.9   933.4  3195.4  30074.5    30110  1778190077737  1778190087792
read      264.6   139.3    80.4   136.6   151.9   238.4   285.3   312.5   333.2   358.7   394.1   460.8   699.3  1273.2  4043.4  30122.7    30115  1778190089304  1778190099360
read      284.1   287.1    80.4   136.8   152.4   238.9   284.9   312.3   333.6   360.4   398.2   478.3   970.3  4067.6  6424.4  29640.2    30120  1778190100871  1778190110925
read      245.5   110.9    80.4   137.1   150.9   225.2   264.4   287.9   305.4   326.6   356.2   405.7   584.4  1033.7  3307.2  30193.9    30125  1778190112436  1778190122488
read      268.3   114.6    74.4   140.7   157.0   247.1   294.2   321.9   343.6   369.0   401.5   457.3   599.7   942.3  2910.8  30108.5    30130  1778190124000  1778190134056
read      268.8   116.6    74.4   135.4   153.8   248.4   295.9   324.1   345.3   371.2   404.1   460.6   612.8   959.0  2508.4  30115.3    30135  1778190135569  1778190145621
read      283.7   121.2    74.4   144.1   163.9   263.0   313.9   343.9   366.5   392.8   426.1   479.4   623.3   939.8  3081.7  30143.4    30140  1778190147134  1778190157191
read      273.4   113.0    80.4   143.3   161.7   254.6   300.8   329.1   349.7   374.3   405.7   456.3   582.8   924.2  3084.6  30162.9    30145  1778190158705  1778190168763
read      272.3   112.2    80.4   146.1   163.0   251.8   297.7   326.1   347.2   372.6   404.5   457.4   588.2   911.4  2767.3  30181.4    30150  1778190170277  1778190180333
read      267.9   109.5    80.4   141.1   158.7   250.3   296.2   322.5   342.3   365.8   395.8   444.0   571.5   859.6  3091.6  30110.4    30155  1778190181846  1778190191902
