Timestamp start: 1778540043572
Timestamp end: 1778541123897

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      272.6   319.2    93.8   162.0   177.4   239.9   264.9   279.0   290.7   305.1   324.2   362.5  1041.0  6117.8  9723.8   6885.3     6927
read      350.9   354.8    86.8   142.3   158.6   291.4   366.8   409.6   440.9   478.3   531.3   628.7  1632.6  5136.5  8138.8  52793.4    52892
read      335.4   409.5    86.8   145.2   161.2   269.1   326.9   359.4   383.0   411.7   453.1   545.2  2240.9  6013.7  8427.7  98936.2    98921
read      300.5   258.2    86.8   138.6   152.0   266.4   329.7   364.8   390.1   419.9   458.4   522.0   807.7  3463.7  9403.9  61211.5    61129
read      398.7   513.5    93.8   146.6   164.6   314.3   394.0   435.8   465.6   501.5   550.9   679.3  2837.6  7348.9  9544.0  40492.5    40613
read      373.9   412.5    93.8   142.5   159.1   297.4   381.0   428.4   462.3   502.9   559.2   673.9  2142.2  5480.5  8732.0  53254.5    53226
read      354.6   315.2    93.8   145.5   163.5   308.8   383.7   422.3   449.1   479.5   521.2   596.9  1392.2  4450.5  7979.0  38574.6    38560
read      353.9   401.5    86.8   150.3   167.5   285.7   347.2   382.4   408.0   441.1   492.0   620.4  2205.0  5345.3  8047.7 103424.5   103465
read      359.2   330.7    86.8   152.5   170.3   295.1   365.3   406.1   439.2   485.6   563.6   740.7  1408.0  4802.8  8606.8 104795.5   104758
read      291.8   220.8    86.8   143.2   158.2   258.8   317.3   348.9   371.2   397.0   430.4   488.8   806.8  2870.3  7666.2  94695.8    94759
read      358.0   337.7    93.8   148.8   166.5   308.5   380.3   418.1   445.1   476.0   517.1   593.5  1518.4  4966.4  8052.8  37814.8    37799
read      265.7   232.2    93.8   161.2   176.5   243.3   271.0   287.2   298.2   313.4   333.0   367.1   721.4  3286.6  8043.0   8315.9     8296
read      338.5   347.6    86.8   141.6   156.4   273.1   341.0   381.5   412.2   450.7   502.9   612.4  1918.4  4516.1  7902.8  69258.5    69443
read      304.8   299.1   101.3   162.9   181.0   270.8   308.7   330.3   345.9   367.1   395.5   452.4  1047.2  4888.9  8092.9  12441.5    12517
read      373.4   427.8    86.8   143.0   160.5   309.2   391.5   433.9   463.2   497.5   543.8   637.1  1787.1  6709.5 10928.9  43571.0    43591
read      304.7   242.1    93.8   152.8   170.7   282.7   330.9   356.3   373.4   394.2   420.0   460.5   745.4  3303.0  9098.3  20450.7    20430
read      344.9   408.3    86.8   145.2   161.2   271.2   329.3   361.9   386.0   415.8   459.8   578.9  2608.5  4710.3  8025.9  93744.3    93758
read      271.6   234.7   101.3   158.9   175.9   250.0   280.3   296.9   310.0   324.2   344.2   377.4   677.7  3872.1  7994.3  10441.6    10485
read      299.5   259.4    93.8   155.4   173.9   274.7   315.9   338.3   354.1   372.2   396.8   435.3   815.1  4150.4  7906.9  16528.3    16518
read      355.4   419.4    86.8   146.2   161.9   274.6   336.9   372.3   399.5   434.7   494.8   679.5  2609.7  5011.3  8070.6  83210.5    83230
read      243.0   252.8   101.3   155.4   168.8   222.3   243.2   255.3   265.3   275.4   292.4   318.9   635.3  3236.6  9723.9   5536.2     5484
read      310.5   259.5    93.8   140.9   155.2   274.0   336.7   371.8   397.5   428.0   467.8   539.9   942.4  3429.5  8791.0  55445.9    55611
read      381.1   605.5    93.8   155.0   174.3   288.3   339.2   367.2   387.5   411.5   447.7   564.2  3017.4  7965.2 10753.9  20768.7    20774
read      368.4   488.9    93.8   147.0   163.6   278.3   336.6   369.8   395.3   427.9   479.1   669.0  2743.9  6614.7 10009.5  96640.8    96726
read      336.6   279.5    93.8   148.3   165.5   298.2   361.6   395.5   419.6   447.1   482.2   546.7  1272.3  3828.1  7818.3  32431.9    32442
read      359.7   570.5    86.8   143.1   158.7   275.9   342.4   383.5   415.1   455.1   510.4   640.4  2489.6  6276.6 11579.4  72989.6    73039
read      333.2   367.3    86.8   142.9   158.4   274.0   342.2   383.0   413.9   452.0   502.4   593.2  1267.0  6117.8  8056.4  74122.0    74055
read      399.1   504.5    93.8   145.2   162.8   306.6   391.2   438.0   470.8   510.6   569.7   711.7  2736.8  7151.9  9790.2  51133.9    51197
read      314.4   329.8    93.8   139.4   153.0   270.0   334.3   370.0   396.2   427.4   467.9   541.4  1059.4  5303.0  9744.5  59453.5    59442
read      345.1   321.1    93.8   145.1   162.1   300.9   369.8   405.8   431.2   460.3   498.3   569.2  1387.9  4645.5  8042.3  35746.9    35654
read      372.0   499.7    86.8   141.6   156.6   272.2   338.9   381.2   414.8   457.5   520.9   691.2  2875.9  6267.1  9221.0  78750.4    78747
read      388.5   477.7    93.8   144.3   162.6   308.4   387.8   430.1   460.2   496.4   547.1   684.3  2318.1  6956.0  9770.4  42198.9    42212
