#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      263.8   160.2    80.4   133.5   149.3   236.0   282.1   309.7   330.5   356.2   391.5   456.1   700.1  2084.8  5825.9  30009.9    30000  1778190282649  1778190292737
read      254.2   178.5    80.4   130.7   145.1   225.1   267.3   292.6   312.0   336.0   369.6   435.1   704.8  2715.0  6229.9  30046.8    30005  1778190294250  1778190304321
read      248.0   160.8    80.4   131.7   146.1   224.3   264.5   288.6   306.6   328.1   357.4   404.3   596.4  2415.1  4997.8  29979.4    30010  1778190305834  1778190315891
read      249.5   154.6    80.4   132.0   146.7   226.9   268.3   293.3   312.0   334.3   363.5   408.5   558.8  2216.3  4898.4  30070.5    30015  1778190317404  1778190327458
read      241.8   151.8    80.4   130.8   144.7   219.6   258.1   281.4   298.4   319.3   346.1   393.0   542.7  2363.2  4678.1  30020.1    30020  1778190328972  1778190339026
read      243.0   161.7    80.4   129.2   143.0   219.2   258.2   281.5   298.6   319.6   348.0   397.1   593.8  2625.7  5536.4  30029.3    30025  1778190340538  1778190350594
read      361.0   370.6    80.4   133.8   149.9   249.0   310.8   360.0   419.6   567.8   738.7   975.0  1710.7  4934.2  6445.9  30096.4    30030  1778190352106  1778190362161
read      243.7   152.0    80.4   128.1   142.2   220.2   260.2   285.0   303.5   326.2   357.3   406.5   581.6  2324.0  4397.2  30006.0    30035  1778190363674  1778190373729
read      234.1   140.6    80.4   127.1   140.4   213.2   250.6   273.0   290.0   310.1   336.5   378.8   531.7  2081.5  4623.8  30068.3    30040  1778190375242  1778190385298
read      237.1   163.0    80.4   128.6   142.0   215.0   252.4   275.1   292.3   312.6   338.9   382.0   519.4  2681.6  5750.3  30144.3    30045  1778190386809  1778190396866
read      247.5   166.5    80.4   132.2   146.7   224.6   264.4   288.5   306.5   327.8   355.9   400.7   551.7  2564.8  6356.1  30024.4    30050  1778190398379  1778190408436
read      239.0   148.7    80.4   128.0   141.5   216.8   255.8   279.1   295.9   316.6   343.8   389.7   560.5  2187.7  4905.5  29942.3    30055  1778190409948  1778190420002
read      253.5   115.5    80.4   134.9   151.1   234.4   277.5   303.1   321.1   344.1   373.0   419.6   538.2  1177.2  3392.5  30038.4    30060  1778190421516  1778190431574
read      244.8   100.6    74.4   131.2   146.7   228.2   270.2   294.9   313.5   335.5   363.2   403.6   494.9   741.4  2776.1  29954.6    30065  1778190433086  1778190443141
read      248.6    96.4    80.4   131.8   147.6   230.4   273.6   300.1   320.2   344.6   374.2   419.6   511.1   727.3  2118.2  30004.1    30070  1778190444655  1778190454711
read      255.7   113.7    74.4   131.6   148.1   234.9   279.8   307.4   328.3   354.5   388.3   437.5   561.5   992.1  2876.6  30144.4    30075  1778190456223  1778190466278
read      264.1   113.5    80.4   136.8   153.6   245.7   291.2   317.8   337.8   361.6   392.4   439.9   578.5  1065.4  2819.6  30124.7    30080  1778190467789  1778190477843
read      255.8   119.5    80.4   130.9   147.3   232.0   276.5   305.4   328.0   356.3   392.9   448.8   594.5  1055.2  2768.9  30125.4    30085  1778190479356  1778190489412
read      248.3   106.4    80.4   134.0   149.0   230.1   271.9   295.8   313.8   335.3   363.8   410.0   554.2   930.6  3068.6  30199.4    30090  1778190490925  1778190500980
read      263.1   140.6    74.4   135.0   150.7   236.7   282.5   309.2   329.0   353.9   389.5   456.2   718.3  1571.0  4101.9  30162.5    30095  1778190502492  1778190512550
read      255.2   134.7    86.8   135.8   150.8   232.3   274.0   298.0   316.4   339.4   370.5   428.8   667.4  1442.1  4957.4  30132.0    30100  1778190514063  1778190524118
read      248.3   111.1    86.8   137.3   152.1   230.7   270.4   293.8   311.5   332.5   359.9   402.6   535.7   933.6  3828.1  30037.1    30105  1778190525630  1778190535687
read      258.3   144.9    86.8   137.0   151.8   233.4   276.2   302.0   320.6   344.7   377.0   434.0   657.7  1824.8  4885.7  30170.1    30110  1778190537199  1778190547255
read      247.2   116.7    80.4   133.5   148.3   226.0   266.3   290.3   308.5   330.7   361.7   416.4   610.4  1111.5  3548.0  30128.6    30115  1778190548767  1778190558824
read      253.4   122.4    80.4   134.7   150.1   230.4   272.5   297.1   315.8   339.4   371.7   430.4   651.9  1229.2  3167.1  30073.8    30120  1778190560338  1778190570397
read      244.4   104.9    74.4   127.4   142.5   225.9   269.9   295.4   314.6   337.6   366.9   411.0   520.0   920.8  3027.0  30139.1    30125  1778190571909  1778190581964
read      305.9   176.6    80.4   142.7   161.9   266.2   324.9   363.2   392.5   429.0   483.3   587.9   893.1  1756.8  4588.0  30122.1    30130  1778190583477  1778190593534
read      345.0   209.6    74.4   153.4   176.0   303.6   368.6   407.6   438.4   481.5   545.4   666.2  1038.6  1962.5  6580.3  30078.0    30135  1778190595047  1778190605102
read      333.3   179.0    80.4   152.8   174.6   297.4   361.8   399.9   430.0   468.5   529.1   631.3   886.2  1673.2  4571.5  30049.0    30140  1778190606616  1778190616671
read      314.4   144.6    80.4   152.6   174.6   288.8   345.9   379.6   404.4   435.5   481.5   561.3   748.3  1235.0  3329.8  30113.1    30145  1778190618182  1778190628237
read      313.7   148.2    80.4   152.8   173.3   284.3   343.0   378.0   404.1   436.7   486.0   569.9   777.0  1307.6  3170.0  30075.9    30150  1778190629750  1778190639804
