#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      293.4   183.5    93.8   161.4   175.7   259.6   302.3   329.6   351.1   380.2   424.4   515.3   847.7  2346.5  6152.4  29964.6    30000  1778232971905  1778232982127
read      311.5   275.1    93.8   156.6   171.4   258.2   304.4   334.4   359.8   395.3   455.4   594.5  1233.7  3981.3  7208.3  29986.1    30005  1778232983644  1778232993785
read      301.0   199.5   101.3   161.7   175.5   258.9   303.5   333.1   357.6   391.4   445.8   564.0   979.8  2303.3  5480.2  30018.3    30010  1778232995307  1778233005409
read      348.8   331.5    93.8   163.1   178.8   272.3   322.9   359.8   392.4   443.5   542.3   772.3  1727.9  4394.8  7313.6  29967.1    30015  1778233006927  1778233017031
read      364.6   399.4   101.3   163.6   179.0   272.7   324.2   361.2   394.9   449.6   560.0   834.6  2067.8  5140.3  8017.8  30025.1    30020  1778233018554  1778233028656
read      385.3   477.9   101.3   160.4   176.0   271.5   324.5   362.8   398.0   457.7   587.3   943.8  2646.4  5808.5  8530.2  29987.8    30025  1778233030177  1778233040280
read      351.1   368.4    93.8   159.9   175.3   268.1   318.3   353.4   385.0   432.9   531.2   785.9  1942.9  4863.9  7884.1  29922.0    30030  1778233041808  1778233051911
read      300.6   197.1   101.3   161.2   176.0   262.6   306.5   334.4   357.5   388.9   436.0   545.5   909.8  2826.3  5716.3  30003.5    30035  1778233053431  1778233063536
read      299.5   217.0   101.3   160.5   174.0   253.3   295.6   323.4   346.0   378.7   432.3   570.1  1078.7  2935.1  5024.3  29962.1    30040  1778233065054  1778233075153
read      288.3   200.0    93.8   157.2   170.9   250.2   291.6   317.1   338.2   366.4   410.4   518.5   928.1  2602.8  5870.8  30008.2    30045  1778233076671  1778233086782
read      276.0   192.2   101.3   156.3   169.2   245.1   283.9   307.7   325.7   349.0   385.1   460.1   793.2  2820.6  6246.8  30016.5    30050  1778233088303  1778233098438
read      268.7   156.5   101.3   154.3   167.2   242.6   281.0   304.4   322.1   345.4   379.8   445.1   697.5  1990.8  5128.7  30012.5    30055  1778233099963  1778233110115
read      280.2   134.6   101.3   161.5   176.0   259.1   299.9   324.7   343.9   368.9   402.1   458.8   612.3  1500.1  4395.8  30096.7    30060  1778233111638  1778233121740
read      276.8   116.9    93.8   162.3   177.4   259.0   298.7   322.0   340.6   363.6   394.5   444.7   562.2   980.4  3797.9  30074.1    30065  1778233123257  1778233133359
read      265.5   123.2   101.3   153.1   166.7   245.1   285.0   309.3   327.7   350.5   382.5   433.1   571.7  1476.2  4147.6  30098.7    30070  1778233134875  1778233144986
read      264.9   146.5    93.8   155.0   168.8   245.0   283.9   307.2   324.5   346.4   376.8   426.5   545.6  1501.3  4973.7  30043.8    30075  1778233146504  1778233156606
read      260.6   121.5    86.8   151.9   165.3   242.9   282.1   305.4   322.3   343.9   372.2   419.0   527.9  1100.5  4211.3  29998.2    30080  1778233158122  1778233168228
read      263.9   140.6   101.3   154.1   167.1   241.5   279.4   302.2   319.1   341.3   372.1   429.4   625.6  1668.3  5039.3  30126.6    30085  1778233169747  1778233179848
read      262.4   134.3   101.3   157.5   170.3   242.6   278.8   300.7   317.2   338.4   367.2   418.1   564.8  1606.4  4743.7  30122.5    30090  1778233181366  1778233191473
read      270.2   146.3   101.3   159.0   172.5   247.8   285.3   307.6   323.9   345.2   375.5   433.0   642.0  1949.6  5186.0  30027.9    30095  1778233192991  1778233203105
read      276.1   153.4   101.3   161.1   175.0   253.4   291.6   314.2   331.6   353.2   384.4   441.0   650.2  2156.7  5103.7  30136.0    30100  1778233204629  1778233214757
read      268.9   138.4   101.3   161.0   174.5   249.6   286.5   308.7   325.1   345.4   373.5   423.7   580.6  1474.7  5458.0  30189.7    30105  1778233216277  1778233226384
read      263.3   126.0    93.8   156.2   170.1   246.5   282.8   304.3   320.0   340.4   367.6   413.3   546.6  1165.2  4360.4  30135.1    30110  1778233227901  1778233238012
read      260.6   107.3   101.3   157.2   170.8   243.9   279.6   300.9   317.0   337.2   364.5   409.3   542.3  1019.5  4148.4  30169.7    30115  1778233239531  1778233249635
read      268.1   113.1    93.8   160.8   174.7   250.4   288.3   311.1   328.1   348.7   377.5   425.0   545.2  1169.9  4113.6  30034.0    30120  1778233251154  1778233261258
read      284.3   150.0    93.8   163.1   178.7   260.6   299.8   324.0   342.6   366.5   398.8   457.9   704.1  1997.9  4826.7  30140.9    30125  1778233262774  1778233272882
read      287.3   129.2   101.3   164.8   181.2   266.0   307.9   333.4   352.6   376.0   409.3   465.7   635.2  1480.9  3988.2  30042.4    30130  1778233274400  1778233284503
