timestamp,core0,core1,core2,core3
2026-05-11T19:49:56.778002,memcached,memcached,memcached,idle
2026-05-11T19:49:57.041774,,,,freqmine
2026-05-11T19:49:57.294097,,idle,idle,
2026-05-11T19:49:57.504458,,canneal,,
2026-05-11T19:50:00.445270,,,barnes,
2026-05-11T19:50:11.630506,,memcached,,
2026-05-11T19:50:15.905231,,idle,,
2026-05-11T19:50:15.932627,,canneal,,
2026-05-11T19:50:18.245164,,memcached,,
2026-05-11T19:50:23.020689,,idle,,
2026-05-11T19:50:23.048941,,canneal,,
2026-05-11T19:50:25.367701,,memcached,,
2026-05-11T19:50:26.193387,,,memcached,
2026-05-11T19:50:40.980658,,,idle,
2026-05-11T19:50:41.002164,,,barnes,
2026-05-11T19:50:56.286985,,idle,,
2026-05-11T19:50:56.311169,,canneal,,
2026-05-11T19:51:11.135831,,memcached,,
2026-05-11T19:51:25.917358,,idle,,
2026-05-11T19:51:25.942462,,canneal,,
2026-05-11T19:51:41.270938,,memcached,,
2026-05-11T19:51:42.082446,,,memcached,
2026-05-11T19:52:25.896731,,,idle,
2026-05-11T19:52:25.915828,,,barnes,
2026-05-11T19:52:26.686164,,idle,,
2026-05-11T19:52:26.709212,,canneal,,
2026-05-11T19:52:56.557263,,memcached,,
2026-05-11T19:53:11.338783,,idle,,
2026-05-11T19:53:11.357201,,canneal,,
2026-05-11T19:53:42.336833,,,idle,
2026-05-11T19:53:42.577050,,,vips,
2026-05-11T19:53:57.166893,,memcached,,
2026-05-11T19:53:58.339827,,,memcached,
2026-05-11T19:54:11.117702,,idle,idle,
2026-05-11T19:54:11.132584,,canneal,,
2026-05-11T19:54:11.148270,,,vips,
2026-05-11T19:54:41.490416,,memcached,,
2026-05-11T19:54:42.294543,,,memcached,
2026-05-11T19:54:45.070632,,,idle,
2026-05-11T19:54:45.102141,,,vips,
2026-05-11T19:54:56.387547,,idle,,
2026-05-11T19:54:56.418078,,canneal,,
2026-05-11T19:55:11.234656,,memcached,,
2026-05-11T19:55:26.016481,,idle,,
2026-05-11T19:55:26.498978,,canneal,,
2026-05-11T19:55:27.905652,,,idle,
2026-05-11T19:55:28.224055,,,blackscholes,
2026-05-11T19:55:42.186326,,memcached,,
2026-05-11T19:55:43.338769,,,memcached,
2026-05-11T19:55:56.119058,,idle,idle,
2026-05-11T19:55:56.136557,,canneal,,
2026-05-11T19:55:56.158248,,,blackscholes,
2026-05-11T19:56:11.507225,,memcached,,
2026-05-11T19:56:41.806947,,idle,,
2026-05-11T19:56:41.833799,,canneal,,
2026-05-11T19:56:45.146675,,memcached,,
2026-05-11T19:56:47.418682,,idle,,
2026-05-11T19:56:47.444696,,canneal,,
2026-05-11T19:56:49.759833,,memcached,,
2026-05-11T19:56:52.031225,,idle,,
2026-05-11T19:56:52.056542,,canneal,,
2026-05-11T19:56:54.369340,,memcached,,
2026-05-11T19:57:11.152436,,idle,,
2026-05-11T19:57:11.182484,,canneal,,
2026-05-11T19:57:23.889334,,,idle,
2026-05-11T19:57:24.258456,,,radix,
2026-05-11T19:57:26.541838,,memcached,,
2026-05-11T19:57:27.341604,,,memcached,
2026-05-11T19:57:29.614773,,,idle,
2026-05-11T19:57:29.638836,,,radix,
2026-05-11T19:57:41.428798,,idle,,
2026-05-11T19:57:41.456942,,canneal,,
2026-05-11T19:57:44.799606,,idle,,
2026-05-11T19:57:45.103284,,streamcluster,,
2026-05-11T19:57:56.290589,,memcached,,
2026-05-11T19:58:00.064256,,idle,,
2026-05-11T19:58:00.092992,,streamcluster,,
2026-05-11T19:58:02.423547,,memcached,,
2026-05-11T19:58:09.199617,,idle,,
2026-05-11T19:58:09.225253,,streamcluster,,
2026-05-11T19:58:09.497469,,,idle,
2026-05-11T19:58:09.541698,,,streamcluster,
2026-05-11T19:58:41.576863,,memcached,,
2026-05-11T19:58:42.396311,,,memcached,
2026-05-11T19:58:44.672613,,,idle,
2026-05-11T19:58:44.695443,,,streamcluster,
2026-05-11T19:58:52.524771,,,memcached,
2026-05-11T19:58:54.806553,,,idle,
2026-05-11T19:58:54.831075,,,streamcluster,
2026-05-11T19:59:11.666784,,,memcached,
2026-05-11T19:59:27.472202,,,,idle
2026-05-11T19:59:27.515825,,,,streamcluster
2026-05-11T19:59:27.549129,,,streamcluster,
2026-05-11T19:59:44.297064,,,memcached,
2026-05-11T19:59:48.075769,,,idle,
2026-05-11T19:59:48.118140,,,streamcluster,
2026-05-11T19:59:56.356405,,idle,,
2026-05-11T19:59:56.383649,,streamcluster,,
2026-05-11T20:00:26.216606,,memcached,,
2026-05-11T20:00:56.061932,,,memcached,
2026-05-11T20:01:11.351271,,idle,idle,
2026-05-11T20:01:11.380212,,streamcluster,,
2026-05-11T20:01:11.408453,,,streamcluster,
2026-05-11T20:01:13.669018,,memcached,,
2026-05-11T20:01:25.953774,,idle,,
2026-05-11T20:01:25.980118,,streamcluster,,
2026-05-11T20:01:41.296251,,memcached,,
2026-05-11T20:02:11.598689,,idle,,
2026-05-11T20:02:11.630179,,streamcluster,,
2026-05-11T20:02:13.906284,,memcached,,
2026-05-11T20:02:16.180116,,idle,,
2026-05-11T20:02:16.215144,,streamcluster,,
2026-05-11T20:02:23.488238,,memcached,,
2026-05-11T20:02:25.763396,,idle,,
2026-05-11T20:02:25.792165,,streamcluster,,
2026-05-11T20:02:28.076085,,memcached,,
2026-05-11T20:02:41.360035,,idle,,
2026-05-11T20:02:41.396406,,streamcluster,,
2026-05-11T20:02:56.187922,,memcached,,
2026-05-11T20:03:16.021483,,,memcached,
2026-05-11T20:03:18.298515,,,idle,
2026-05-11T20:03:18.332788,,,streamcluster,
2026-05-11T20:03:26.662068,,,idle,idle
