timestamp,core0,core1,core2,core3
2026-05-11T19:11:22.113585,memcached,memcached,memcached,idle
2026-05-11T19:11:22.309036,,,,freqmine
2026-05-11T19:11:22.631134,,idle,idle,
2026-05-11T19:11:22.850687,,canneal,,
2026-05-11T19:11:25.806059,,,barnes,
2026-05-11T19:11:41.956128,,memcached,,
2026-05-11T19:11:48.235791,,idle,,
2026-05-11T19:11:48.264200,,canneal,,
2026-05-11T19:11:51.079513,,memcached,,
2026-05-11T19:11:52.414735,,,memcached,
2026-05-11T19:12:07.203161,,idle,idle,
2026-05-11T19:12:07.223490,,canneal,,
2026-05-11T19:12:07.258120,,,barnes,
2026-05-11T19:12:09.572863,,memcached,,
2026-05-11T19:12:21.861371,,idle,,
2026-05-11T19:12:21.894353,,canneal,,
2026-05-11T19:12:37.739361,,memcached,,
2026-05-11T19:12:40.011416,,idle,,
2026-05-11T19:12:40.046278,,canneal,,
2026-05-11T19:12:43.361390,,memcached,,
2026-05-11T19:12:47.636011,,idle,,
2026-05-11T19:12:47.663963,,canneal,,
2026-05-11T19:12:50.477005,,memcached,,
2026-05-11T19:12:52.749230,,idle,,
2026-05-11T19:12:52.777113,,canneal,,
2026-05-11T19:13:07.126928,,memcached,,
2026-05-11T19:13:07.965600,,,memcached,
2026-05-11T19:13:51.776678,,,idle,
2026-05-11T19:13:51.794835,,,barnes,
2026-05-11T19:13:52.567757,,idle,,
2026-05-11T19:13:52.590743,,canneal,,
2026-05-11T19:14:22.437914,,memcached,,
2026-05-11T19:14:37.220372,,idle,,
2026-05-11T19:14:37.239737,,canneal,,
2026-05-11T19:14:57.126468,,memcached,,
2026-05-11T19:14:59.407979,,idle,,
2026-05-11T19:14:59.436405,,canneal,,
2026-05-11T19:15:10.997416,,,idle,
2026-05-11T19:15:11.285580,,,vips,
2026-05-11T19:15:22.288777,,memcached,,
2026-05-11T19:15:23.876214,,,memcached,
2026-05-11T19:15:37.155085,,idle,idle,
2026-05-11T19:15:37.170677,,canneal,,
2026-05-11T19:15:37.186673,,,vips,
2026-05-11T19:16:07.543160,,memcached,,
2026-05-11T19:16:08.346114,,,memcached,
2026-05-11T19:16:11.123077,,,idle,
2026-05-11T19:16:11.801075,,,vips,
2026-05-11T19:16:22.077931,,idle,,
2026-05-11T19:16:22.094573,,canneal,,
2026-05-11T19:16:37.907685,,memcached,,
2026-05-11T19:16:51.686519,,idle,,
2026-05-11T19:16:51.707260,,canneal,,
2026-05-11T19:16:56.521711,,,idle,
2026-05-11T19:16:56.917740,,,blackscholes,
2026-05-11T19:17:07.549317,,memcached,,
2026-05-11T19:17:08.364212,,,memcached,
2026-05-11T19:17:22.151235,,idle,idle,
2026-05-11T19:17:22.176729,,canneal,,
2026-05-11T19:17:22.205589,,,blackscholes,
2026-05-11T19:17:37.066065,,memcached,,
2026-05-11T19:18:07.365326,,idle,,
2026-05-11T19:18:07.393708,,canneal,,
2026-05-11T19:18:22.228329,,memcached,,
2026-05-11T19:18:37.014199,,idle,,
2026-05-11T19:18:37.035861,,canneal,,
2026-05-11T19:18:52.389700,,memcached,,
2026-05-11T19:18:58.150241,,,idle,
2026-05-11T19:18:58.537087,,,radix,
2026-05-11T19:19:07.179446,,idle,,
2026-05-11T19:19:07.202810,,canneal,,
2026-05-11T19:19:08.204298,,idle,,
2026-05-11T19:19:08.501964,,streamcluster,,
2026-05-11T19:19:27.041616,,memcached,,
2026-05-11T19:19:29.812466,,idle,,
2026-05-11T19:19:29.842237,,streamcluster,,
2026-05-11T19:19:34.164543,,memcached,,
2026-05-11T19:19:36.938360,,idle,,
2026-05-11T19:19:36.965488,,streamcluster,,
2026-05-11T19:19:42.404520,,,idle,
2026-05-11T19:19:42.462246,,,streamcluster,
2026-05-11T19:20:07.351958,,memcached,,
2026-05-11T19:20:37.204748,,,memcached,
2026-05-11T19:21:07.508481,,,idle,
2026-05-11T19:21:07.531351,,,streamcluster,
2026-05-11T19:21:15.854362,,,memcached,
2026-05-11T19:21:18.127647,,,idle,
2026-05-11T19:21:18.153100,,,streamcluster,
2026-05-11T19:21:22.429673,,idle,,
2026-05-11T19:21:22.475195,,streamcluster,,
2026-05-11T19:21:35.650812,,,,idle
2026-05-11T19:21:35.692780,,,,streamcluster
2026-05-11T19:21:52.274215,,memcached,,
2026-05-11T19:22:22.140302,,,memcached,
2026-05-11T19:22:36.926775,,,idle,
2026-05-11T19:22:36.954401,,,streamcluster,
2026-05-11T19:22:51.709638,,idle,,
2026-05-11T19:22:51.741593,,streamcluster,,
2026-05-11T19:23:07.045829,,memcached,,
2026-05-11T19:23:37.352274,,idle,,
2026-05-11T19:23:37.382751,,streamcluster,,
2026-05-11T19:23:52.182516,,memcached,,
2026-05-11T19:23:56.956999,,idle,,
2026-05-11T19:23:56.989029,,streamcluster,,
2026-05-11T19:24:00.776412,,memcached,,
2026-05-11T19:24:07.053675,,idle,,
2026-05-11T19:24:07.090001,,streamcluster,,
2026-05-11T19:24:22.373770,,memcached,,
2026-05-11T19:25:18.898586,,,idle,idle
