Timestamp start: 1778527861646
Timestamp end: 1778528941946

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      365.6   448.9    86.8   147.9   163.1   283.1   353.8   399.9   439.7   493.1   568.0   714.3  2387.2  5276.2  7933.5  72124.3    72057
read      330.1   290.6    86.8   146.1   160.7   276.2   344.5   388.1   423.2   467.5   529.3   629.4  1079.3  4079.7  8048.9  70069.9    70041
read      288.9   222.6    86.8   143.7   158.1   254.0   310.2   341.0   363.0   388.3   420.7   472.4   898.6  3233.8  7062.3  90238.1    90162
read      305.7   192.0    93.8   145.2   159.8   279.7   339.8   373.1   398.4   428.9   468.1   534.4   722.4  2393.2  6604.9  52035.3    52082
read      319.3   191.1    93.8   153.4   171.4   300.4   355.1   384.4   404.1   428.6   459.3   506.2   699.9  2492.5  6947.5  24239.8    24258
read      376.2   466.2    93.8   148.8   163.4   283.6   353.3   398.9   437.0   488.8   562.0   718.1  2730.4  6109.4  9166.4  72062.9    72013
read      308.4   202.7    86.8   143.0   156.7   277.1   340.2   376.2   403.3   436.7   482.0   555.5   804.5  2516.7  7282.5  58061.0    58012
read      359.4   246.9    93.8   146.5   163.5   322.3   408.2   453.5   484.8   521.7   569.2   641.1   932.1  3226.7  7740.4  45422.3    45398
read      311.0   202.9    93.8   145.1   159.6   284.0   344.6   378.9   403.6   434.4   474.0   541.9   765.2  2688.2  7371.3  50212.1    50177
read      342.8   225.1    93.8   150.7   168.9   317.4   386.5   422.4   447.5   475.6   512.0   573.9   773.1  3287.4  7248.2  34494.1    34504
read      353.5   353.5    93.8   146.3   161.8   285.2   353.5   395.9   429.9   472.6   535.3   655.6  2054.0  4320.5  7902.6  65941.1    66010
read      345.9   299.6    86.8   148.5   163.9   284.1   354.5   401.0   441.1   494.8   570.0   703.0  1222.7  3998.9  7953.7  73891.7    73937
read      307.4   173.8    93.8   144.0   158.5   281.3   343.6   379.1   404.6   436.0   477.5   544.7   752.2  1965.0  4789.6  55005.8    55020
read      311.0   234.5    86.8   144.4   159.1   281.5   342.0   375.5   400.5   431.2   470.7   539.8   790.2  2927.0  8763.1  53279.5    53235
read      275.7   132.6    86.8   145.8   160.9   253.5   306.7   336.5   357.7   381.7   410.9   456.1   579.4  1492.6  3269.7  97679.7    97743
read      228.9   126.1   101.3   158.6   171.9   220.7   237.8   248.6   255.7   266.7   279.8   305.4   388.6  1156.4  7282.5   5394.4     5419
read      252.1    77.8    86.8   160.1   176.3   250.4   273.2   286.1   294.6   306.5   319.9   343.8   402.3   829.6  2099.5  14717.4    14764
read      231.7   102.4   101.3   160.1   174.5   226.4   244.3   254.1   262.4   271.1   283.9   305.0   367.2  1064.8  5240.2   7458.2     7451
read      270.3   105.7    86.8   144.2   158.2   264.1   314.1   337.3   352.6   369.2   389.7   418.6   475.5   739.9  2495.2  48212.4    48208
read      256.9    98.7    93.8   159.3   175.9   254.8   279.2   292.7   302.5   314.2   329.6   353.8   417.2   861.1  3937.1  16081.9    16149
read      268.6   118.0    86.8   140.5   154.2   248.3   304.8   335.0   355.6   378.3   404.3   445.1   542.6  1042.1  2973.0  79088.1    78989
read      261.7    92.1    86.8   158.6   174.6   261.0   287.1   300.7   311.2   321.9   338.9   364.7   431.6   925.8  2916.9  18894.8    18886
read      265.7   118.2    86.8   139.4   152.8   245.6   302.6   332.7   352.9   374.6   400.6   437.0   528.6  1016.9  2826.0  75693.5    75954
read      270.5   110.7    86.8   145.0   159.3   265.9   312.6   334.7   349.1   365.8   385.8   414.1   471.8   784.1  2961.0  44386.9    44409
read      256.9    83.0    93.8   159.0   175.6   255.5   279.7   292.9   302.8   314.7   330.5   355.7   420.9   797.8  3309.2  16411.3    16431
read      270.4   135.5    86.8   141.1   155.3   248.5   303.7   334.3   355.4   379.0   406.7   449.8   562.4  1177.1  3418.0  85635.6    85707
read      276.6   219.7    86.8   141.8   155.9   259.5   314.7   341.8   360.1   379.8   402.8   436.6   523.6  1494.9 10145.4  58266.8    58253
read      294.5   202.4    86.8   148.9   164.6   264.2   318.5   349.3   371.5   397.3   430.7   488.4   765.6  2876.3  7428.7 103910.3   103867
read      259.4    88.0    93.8   155.7   170.7   260.5   287.1   300.7   310.9   321.1   337.5   360.9   412.5   842.5  3100.4  21534.9    21604
read      270.7   128.5    86.8   142.2   156.4   248.1   303.1   333.8   355.2   378.9   406.7   450.3   566.8  1274.8  3601.6  90326.1    90401
