Timestamp start: 1778528995423
Timestamp end: 1778530075719

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      265.6   289.3   101.3   159.2   175.1   237.4   262.0   275.3   287.5   301.0   319.3   355.1   869.9  4615.7  8134.1   6919.6     6927
read      375.9   457.4    86.8   143.4   160.0   301.6   371.9   414.3   447.0   489.3   552.5   683.4  2292.9  6553.3 10147.6  52885.0    52892
read      305.6   249.7    86.8   147.2   163.2   267.8   323.7   354.9   376.6   402.3   436.6   501.4  1181.3  3310.2  7749.6  98838.3    98921
read      312.2   290.9    93.8   140.5   154.4   277.1   339.8   374.7   400.3   431.4   471.3   541.5   865.4  4692.6  9398.3  61053.3    61129
read      388.6   400.3    86.8   146.9   165.1   328.8   409.6   453.2   483.7   520.8   572.0   673.1  1829.4  6336.7  9376.6  40548.0    40613
read      305.2   256.0    86.8   140.9   154.8   279.3   338.3   369.9   393.0   420.3   455.9   512.2   739.4  3314.0  9546.3  53258.7    53226
read      386.9   420.3    93.8   145.0   162.6   325.0   402.6   444.5   473.4   508.3   558.3   654.1  1986.8  6245.9  9960.4  38585.6    38560
read      341.3   408.1    86.8   150.1   167.0   279.5   338.0   370.3   394.3   423.7   464.9   555.8  1982.1  6202.7  8553.2 103364.0   103465
read      295.9   218.2    86.8   147.8   163.5   265.5   320.0   350.2   371.8   397.2   430.1   486.3   757.2  3078.9  7519.1 104818.8   104758
read      280.7   186.2    86.8   141.7   156.2   252.9   308.7   339.0   360.5   384.8   415.2   463.8   691.6  2578.5  6751.0  94785.8    94759
read      394.1   452.1    93.8   148.0   167.3   324.6   400.1   441.4   470.6   506.9   560.0   668.1  2169.1  6765.9  9823.4  37778.1    37799
read      256.2   193.9   101.3   156.2   172.9   240.2   267.2   282.2   293.4   307.5   324.7   354.5   502.0  2625.9  7946.0   8323.7     8296
read      366.7   499.0    86.8   141.2   156.3   281.1   348.4   389.5   420.9   460.0   514.7   627.0  2782.0  6525.5  8546.0  69421.5    69443
read      274.2   172.1   101.3   154.5   172.5   258.6   291.5   310.5   323.8   340.3   361.9   396.6   612.7  2395.7  7390.2  12554.5    12517
read      404.4   423.7    86.8   147.3   167.2   334.8   421.6   467.2   499.9   540.2   592.6   717.1  2076.5  6213.3  9120.8  43625.3    43591
read      337.4   357.1   101.3   153.6   172.4   297.7   347.6   374.0   393.6   416.5   447.1   503.1  1408.7  6546.3  8598.8  20507.3    20430
read      349.1   434.5    86.8   146.7   163.1   275.3   334.2   366.9   391.1   421.1   465.3   588.8  2325.1  5832.2 10396.4  93758.6    93758
read      261.3   184.7    93.8   152.8   169.4   244.4   272.7   289.2   300.8   315.4   334.7   366.0   601.3  2887.5  7708.0  10487.7    10485
