#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      264.0   137.2   101.3   153.4   166.3   239.3   278.5   301.9   319.6   342.6   375.6   439.4   628.9  1944.3  4396.8  30027.6    30000  1778243220902  1778243231058
read      270.4   143.2   101.3   153.5   167.1   243.9   284.6   309.5   328.9   354.1   391.7   462.5   667.9  1758.0  4544.9  30063.4    30005  1778243232574  1778243242703
read      266.9   145.8   101.3   153.8   167.1   242.2   281.3   304.8   322.3   345.7   380.4   443.6   626.5  2145.8  4687.3  30054.8    30010  1778243244217  1778243254316
read      265.3   144.7   101.3   152.9   166.0   239.3   278.4   302.6   320.6   344.4   379.2   446.7   645.8  1946.9  4886.5  30106.6    30015  1778243255830  1778243265929
read      261.6   148.9    93.8   152.9   165.3   235.8   273.9   297.1   315.4   338.5   370.7   432.3   625.4  2211.1  4889.7  30039.9    30020  1778243267445  1778243277544
read      260.5   149.4    93.8   151.5   164.3   235.8   273.5   295.8   313.3   335.1   366.4   425.4   619.2  2181.4  4896.0  29975.1    30025  1778243279059  1778243289160
read      265.1   142.1   101.3   157.6   170.4   242.4   280.0   302.5   319.4   341.7   371.9   428.6   602.6  1732.6  4832.6  30142.8    30030  1778243290675  1778243300776
read      267.9   155.0    93.8   154.6   168.3   244.4   283.5   306.9   324.3   346.6   379.5   435.9   604.4  2185.2  6101.3  30064.1    30035  1778243302291  1778243312392
read      262.6   141.5    93.8   155.9   168.8   240.8   278.1   299.8   316.7   338.2   367.5   420.3   584.3  1773.7  4921.5  30008.5    30040  1778243313906  1778243324013
read      268.7   167.4   101.3   156.6   169.4   241.1   279.7   303.7   321.1   344.5   377.3   436.2   644.3  2545.1  5582.0  30037.3    30045  1778243325528  1778243335627
read      258.1   141.8   101.3   153.5   165.8   234.3   271.5   293.7   311.0   332.5   362.9   417.2   588.5  2115.7  4883.7  30104.4    30050  1778243337141  1778243347241
read      260.4   151.9   101.3   154.9   167.4   236.4   272.8   294.5   311.2   331.9   361.7   416.2   597.0  2239.2  5105.6  30111.8    30055  1778243348754  1778243358854
read      268.8   140.8   101.3   159.3   172.9   245.7   284.6   308.0   325.6   347.7   380.1   434.2   581.4  2043.5  4394.7  30096.8    30060  1778243360370  1778243370470
read      264.6   106.4    93.8   161.7   175.9   249.5   284.8   305.4   320.4   340.4   367.0   409.7   517.8   917.8  3893.6  30081.7    30065  1778243371984  1778243382085
read      252.2   107.8    93.8   156.2   169.8   236.3   269.9   289.9   305.0   322.6   347.4   390.0   488.7   853.4  4232.2  30098.6    30070  1778243383601  1778243393700
read      266.6   115.5   101.3   157.3   171.5   246.4   286.1   310.3   328.7   351.6   384.0   434.6   555.6   940.0  4057.1  30095.9    30075  1778243395213  1778243405314
read      268.7   132.7    93.8   155.3   169.7   246.2   286.8   311.4   330.4   354.7   388.7   443.0   571.1  1985.9  4187.0  29976.7    30080  1778243406829  1778243416935
read      265.1   111.6    93.8   153.4   167.6   245.8   286.1   310.0   328.1   350.7   383.3   434.7   550.7  1001.7  3410.1  30117.4    30085  1778243418449  1778243428548
read      253.3   112.8    93.8   149.4   162.0   233.9   271.8   294.2   311.4   332.5   361.7   411.5   540.9  1086.4  3970.0  30021.6    30090  1778243430063  1778243440165
read      246.1   104.4    93.8   149.6   161.6   228.3   263.3   284.2   299.4   318.6   345.2   394.0   526.4   942.3  3848.9  30122.3    30095  1778243441681  1778243451781
read      257.9   113.1   101.3   154.5   167.5   239.1   275.7   297.3   314.2   334.9   363.6   412.7   548.5  1115.7  3843.2  30114.8    30100  1778243453295  1778243463397
read      262.9   124.8    93.8   156.8   170.8   243.9   281.2   303.5   319.5   340.7   369.2   420.8   560.5  1162.6  4166.9  30075.1    30105  1778243464912  1778243475012
read      267.7   123.7    93.8   159.7   173.8   248.7   286.4   308.6   325.0   345.8   374.8   427.9   572.3  1196.3  4366.4  30135.3    30110  1778243476527  1778243486627
read      261.3   116.4   101.3   155.8   169.2   242.0   279.3   301.1   317.5   338.7   367.9   420.5   566.2  1198.5  4118.6  30125.7    30115  1778243488142  1778243498243
read      254.5   106.6   101.3   154.9   168.0   238.6   273.8   294.2   309.8   328.1   353.2   397.1   509.2   847.1  4022.5  30116.9    30120  1778243499758  1778243509860
read      256.6   101.3    93.8   154.5   168.5   240.5   276.2   297.1   313.4   333.2   360.0   404.1   511.6   843.3  3771.1  29966.2    30125  1778243511376  1778243521479
read      269.3   132.8    86.8   160.5   174.7   251.0   289.7   312.6   330.2   351.8   382.1   429.8   535.4  1066.5  4745.9  30064.3    30130  1778243522995  1778243533098
read      277.1   125.8    93.8   161.7   177.6   258.8   298.5   322.3   341.3   365.1   396.7   446.5   556.3  1012.7  4197.3  30139.7    30135  1778243534614  1778243544716
read      275.4   113.5    93.8   161.4   176.7   256.1   295.8   319.4   338.2   361.5   393.4   447.3   577.1  1182.4  3593.8  30204.3    30140  1778243546229  1778243556332
