Timestamp start: 1778530523976
Timestamp end: 1778531604315

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      277.1   319.4   101.3   166.2   182.3   242.2   267.0   281.5   293.6   309.6   331.5   372.4  1136.1  5836.8  9450.3   6860.4     6927
read      330.5   299.0    86.8   147.2   163.1   291.2   353.1   389.7   416.6   448.8   493.0   573.4   966.6  4790.0  8249.8  52640.6    52892
read      304.6   222.7    86.8   148.9   164.6   265.4   319.4   350.6   373.4   400.6   437.0   517.4  1092.0  2926.7  5826.2  99057.0    98921
read      301.2   170.0    93.8   141.3   155.6   273.6   335.4   369.6   395.1   425.9   465.6   533.6   773.7  2148.5  3659.2  61079.6    61129
read      370.8   368.5    93.8   145.9   164.4   313.7   389.1   431.0   461.0   496.3   545.4   645.5  1670.1  5590.7  8965.6  40510.8    40613
read      315.9   289.0    93.8   142.1   157.0   280.6   341.8   375.9   400.9   431.9   471.3   542.0   833.9  4415.3  9623.5  53262.2    53226
read      358.5   275.3    93.8   147.3   164.4   317.0   393.9   434.0   461.9   494.6   538.0   616.3  1337.9  3441.8  7699.6  38449.8    38560
read      437.8   570.3    86.8   161.1   181.8   316.9   382.3   421.9   453.7   497.2   572.9  1011.9  3341.4  6480.0  8492.3 103528.0   103465
read      307.5   260.8    86.8   149.4   165.6   268.5   323.2   354.5   377.0   403.3   439.1   504.8  1043.6  3639.1  7771.9 104577.2   104758
read      290.7   184.5    86.8   144.0   159.4   257.7   314.0   345.3   367.9   394.3   428.8   494.5   923.2  2230.6  4305.0  94833.8    94759
read      360.0   338.5    93.8   147.1   165.0   308.2   376.7   417.3   446.7   480.9   529.0   622.1  1530.7  4989.6  7958.9  37716.4    37799
read      257.9   185.1   101.3   158.6   174.6   239.4   267.0   282.8   294.3   309.2   327.8   359.8   565.6  2807.0  7782.8   8276.0     8296
read      452.3   661.0    93.8   144.9   161.7   296.6   366.5   410.5   447.1   496.5   582.3  1478.9  3581.9  7200.4  8618.4  69393.2    69443
read      283.9   217.5   101.3   158.9   177.3   262.0   296.2   315.4   329.7   346.0   369.6   404.6   795.2  3038.0  7818.1  12520.2    12517
read      392.8   432.4    86.8   148.6   167.8   326.6   411.4   456.5   488.1   526.0   577.4   674.3  1881.1  6769.3 10498.2  43422.6    43591
read      318.8   261.1   101.3   156.1   176.1   293.5   342.8   369.1   387.3   406.9   433.8   477.9   859.1  3960.8  7953.7  20457.6    20430
read      402.4   539.8    86.8   152.0   169.7   288.4   347.5   381.7   406.7   440.2   496.9  1007.2  3252.2  5755.1  8072.6  93716.4    93758
read      260.1   150.1   101.3   157.4   174.6   244.9   273.6   290.4   302.5   317.0   336.7   367.6   517.9  2072.1  3745.6  10523.6    10485
read      301.2   286.7   101.3   154.4   173.7   274.7   316.1   338.4   354.2   372.1   396.1   433.2   776.6  4829.2  8083.0  16472.6    16518
read      451.2   671.5    86.8   149.2   166.4   293.3   358.1   396.8   428.8   476.0   580.8  1501.8  3743.0  7360.8  9093.6  83099.2    83230
read      238.5   168.8   101.3   155.0   169.4   224.3   244.7   256.8   266.4   276.3   292.3   318.2   507.7  2451.7  7394.8   5520.4     5484
read      315.6   240.2    93.8   141.0   155.5   280.9   343.6   379.8   406.5   439.3   483.7   563.4   927.4  3126.7  7641.7  55452.4    55611
read      306.0   162.8   101.3   154.1   173.2   289.3   337.8   363.9   382.2   402.7   430.2   471.2   699.0  2092.5  5461.3  20761.0    20774
read      416.5   594.3    86.8   150.0   167.7   291.1   351.8   386.5   412.7   448.4   507.4  1095.0  3460.5  7020.1  8439.3  96981.8    96726
read      341.4   234.9    93.8   149.5   167.8   310.2   375.8   411.7   436.5   466.1   504.3   573.2  1027.6  3287.9  7502.8  32479.4    32442
read      423.5   587.8    86.8   146.1   162.5   291.9   361.3   405.2   442.6   492.3   574.0  1016.9  3314.1  6625.3  8084.4  73015.0    73039
read      330.8   333.3    86.8   141.6   156.2   273.7   340.8   382.7   415.9   457.4   510.2   603.6  1375.1  5300.9  7842.9  74118.0    74055
read      349.1   335.8    93.8   143.5   159.8   298.8   371.0   413.8   444.7   482.3   533.9   619.7  1219.8  4906.2  8118.5  51365.2    51197
read      304.3   212.6    86.8   140.2   154.7   275.8   338.2   373.0   399.1   429.8   468.5   532.4   723.0  3121.2  6892.4  59644.4    59442
read      362.1   352.2    93.8   149.5   168.2   315.2   385.1   423.6   451.0   482.8   525.3   598.3  1487.7  5100.2  8925.4  35695.2    35654
read      409.1   555.5    93.8   146.9   163.3   289.4   359.7   405.0   445.4   498.9   578.1   805.6  3176.0  6530.1  8118.3  78853.0    78747
read      398.1   578.2    93.8   146.7   163.2   301.2   366.1   403.9   433.8   471.1   530.0   673.9  3287.2  7693.3 10197.8  42324.0    42212
read      385.4   471.9    86.8   143.5   159.8   300.5   373.8   418.6   453.4   497.2   561.6   707.3  2658.5  6213.2  8282.2  52532.8    52488
read      355.6   345.8    93.8   143.0   160.8   307.2   377.9   416.4   443.6   474.2   516.2   593.8  1479.4  5115.2  8109.0  36905.8    36950
read      299.8   218.5    93.8   155.4   174.6   277.4   319.5   341.8   358.1   376.2   400.0   439.9   845.6  3134.4  7718.3  16752.2    16762
read      457.6   650.9    93.8   148.9   165.6   298.9   371.4   422.7   466.1   527.6   635.6  1479.9  3593.1  7456.0  9394.6  79566.8    79473
read      302.9   249.0    86.8   140.1   153.8   272.2   334.3   369.2   395.3   426.9   467.1   534.4   782.2  2474.1 11237.8  61399.6    61431
read      354.3   372.3    93.8   148.8   163.3   275.8   346.5   398.5   447.0   509.5   590.2   727.0  1572.3  5111.6 10149.8  87087.4    87172
read      321.3   295.1    93.8   153.3   170.3   276.3   331.9   363.4   386.2   413.3   451.5   525.8  1489.0  3619.0  8757.8 108399.2   108181
read      324.8   310.9    93.8   144.2   158.9   268.7   333.4   371.5   402.0   443.5   504.9   618.4  1386.7  3969.1 11382.5  80508.6    80515
read      362.1   366.5    86.8   146.2   163.4   308.8   378.7   417.2   444.7   476.7   521.7   606.0  1665.5  5468.7  8320.8  37074.0    37149
read      307.2   417.3   101.3   156.9   175.3   265.6   302.4   323.0   338.7   357.0   380.3   425.7  1196.3  7951.4 10122.4  13504.0    13444
read      399.4   549.1    86.8   144.0   159.1   283.8   349.5   392.4   427.5   473.2   545.6   799.4  3089.1  6563.1  8070.9  71927.0    72057
read      338.0   353.4    93.8   143.1   156.9   273.6   341.3   383.1   415.6   456.8   510.7   615.5  1834.9  4444.0  8397.8  70197.8    70041
read      303.4   269.9    86.8   142.7   157.3   255.0   312.6   344.9   368.9   397.8   438.6   549.2  1231.1  3349.8  7948.1  90083.8    90162
read      399.4   608.2    93.8   143.0   158.9   293.3   363.9   406.7   441.6   486.8   555.2   726.4  3015.8  8655.0 10748.1  52049.4    52082
read      323.4   245.9    93.8   151.7   170.5   297.6   352.0   380.5   400.0   423.9   454.0   501.5   976.4  3405.7  7912.1  24312.8    24258
read      424.5   614.2    86.8   145.9   162.4   291.2   359.1   401.8   437.2   484.4   556.9  1017.1  3492.3  7213.1  9113.4  72105.2    72013
read      307.4   258.6    86.8   140.9   155.5   275.6   337.7   372.3   397.7   427.6   465.6   530.3   806.6  3493.9  9284.3  57734.0    58012
read      399.2   465.3    86.8   144.4   162.8   316.8   399.9   445.9   478.0   516.2   571.1   682.8  2754.6  5812.8  8089.9  45557.2    45398
read      393.7   569.2    93.8   146.0   162.8   298.6   370.1   412.6   445.6   488.1   550.0   704.9  2642.2  7903.4 14308.7  50133.0    50177
read      355.1   312.8    93.8   148.2   166.2   311.4   380.5   417.4   443.2   472.4   512.5   589.6  1455.2  4369.3  8030.4  34627.0    34504
read      367.9   436.1    86.8   141.9   156.8   277.9   344.3   386.3   419.5   462.1   528.3   747.5  2476.2  5508.8  8133.3  65977.0    66010
read      345.1   422.3    86.8   143.9   159.8   277.1   343.7   385.8   418.3   458.9   512.3   610.6  1774.5  6997.2 11212.4  74029.0    73937
read      304.3   257.0    93.8   142.5   157.3   277.3   337.3   370.2   394.3   422.6   458.6   515.5   691.5  4036.5 10302.8  54962.8    55020
read      379.4   419.6    93.8   146.1   163.8   307.6   385.6   432.5   468.2   510.7   571.7   682.7  2076.7  5855.7  8558.2  53268.0    53235
read      303.6   215.3    93.8   148.9   164.7   266.0   320.9   353.2   376.3   404.0   442.4   522.7  1000.1  3043.8  6361.2  97427.6    97743
read      247.1   265.9   101.3   156.6   170.5   222.3   241.8   253.3   262.7   272.8   289.0   316.5   816.5  4272.1  8206.0   5384.4     5419
read      293.0   246.6   101.3   156.4   175.4   268.3   305.2   325.1   339.8   357.2   379.0   417.5   938.8  3848.8  7882.1  14789.8    14764
read      248.6   183.0   101.3   155.0   170.6   230.8   254.4   268.6   278.5   291.0   307.6   335.4   613.4  2967.6  5242.0   7449.6     7451
read      370.7   439.7    86.8   142.5   159.0   299.6   372.6   415.2   446.9   486.6   543.7   659.0  2094.0  6961.9  9032.9  48130.4    48208
read      300.5   216.8   101.3   160.4   179.8   283.0   322.1   343.7   359.6   376.8   399.9   436.0   672.9  3512.3  7731.8  16107.2    16149
read      430.6   645.8    86.8   148.7   164.3   286.4   346.8   382.1   409.5   449.6   528.7  1398.8  3546.5  7484.8  9558.3  79175.0    78989
read      329.4   427.2    93.8   154.2   173.3   281.3   324.9   348.9   366.8   388.3   417.0   470.2  1569.7  7600.3 11330.4  19032.4    18886
read      507.2   900.9    86.8   152.4   170.4   299.4   360.7   398.9   431.7   484.0   603.1  1738.4  5855.2  8682.9 12660.4  76028.0    75954
read      383.2   413.2    86.8   140.5   157.7   311.6   393.0   437.9   469.8   508.0   563.6   690.2  2143.8  5727.2  9334.0  44433.4    44409
read      348.4   532.7   101.3   150.9   169.6   273.1   313.7   336.7   353.3   372.8   401.8   470.1  2608.4  7735.4 10216.7  16382.6    16431
read      392.5   601.8    86.8   143.2   158.4   272.8   334.1   367.4   392.8   426.0   483.2   796.5  3371.1  7622.4 11320.6  85480.2    85707
read      296.7   202.6    93.8   141.2   154.4   272.5   332.8   365.7   389.6   417.7   454.1   508.8   685.4  2265.5  7343.1  58305.8    58253
read      313.0   343.4    86.8   145.2   160.7   259.6   314.2   344.3   366.7   393.1   428.3   497.7  1660.5  5035.1  7954.2 103729.8   103867
read      299.2   218.5   101.3   147.4   163.1   276.9   323.0   347.8   366.4   387.7   414.4   457.2   790.0  3320.4  7683.6  21644.4    21604
read      400.0   577.4    86.8   146.1   162.1   276.0   334.6   367.6   392.6   424.8   478.9  1293.6  3255.3  6668.7  8400.3  90365.6    90401
read      316.7   279.4    93.8   145.0   159.2   264.2   328.1   367.3   398.7   441.8   505.4   613.9   943.3  3980.0  7803.5  84540.4    84467
read      305.5   286.1    93.8   145.2   159.9   255.6   311.3   342.4   365.4   392.5   428.9   506.9  1427.8  3688.4  7653.1  99524.0    99700
read      322.6   203.5    93.8   145.6   161.4   298.6   360.0   393.6   417.2   443.8   477.2   532.6   815.5  2613.8  6448.7  32103.6    32052
read      290.4   168.1   101.3   151.6   168.8   275.4   318.0   340.4   356.3   373.6   397.7   433.3   596.9  2469.0  7248.2  18128.2    18173
read      372.8   442.7    93.8   142.0   156.1   276.1   343.7   386.9   421.1   465.4   538.6   872.5  2498.9  5311.6  8278.3  68015.0    67789
read      392.9   450.1    86.8   144.7   162.1   305.7   386.8   435.8   471.7   516.6   579.3   728.9  2563.1  5758.8  8092.0  51965.6    51929
read      369.2   449.2    86.8   147.1   163.4   282.2   352.0   399.7   441.8   498.6   577.4   724.4  2007.8  6500.1 10438.8  83879.8    83850
read      295.7   184.9   101.3   155.1   173.6   275.4   318.4   342.0   359.5   379.3   404.1   449.0   723.9  2639.7  7351.0  18655.0    18614
read      328.5   217.1    93.8   149.2   168.0   301.9   362.5   394.0   416.0   440.9   472.7   530.6   962.8  2990.6  6039.9  29280.8    29315
read      404.7   515.1    93.8   156.6   175.5   299.4   361.4   398.1   427.6   466.7   534.9   766.2  3096.6  5988.6  8056.5 107729.4   108090
read      315.4   235.0    93.8   150.4   168.1   291.6   344.2   374.1   395.8   420.8   452.1   500.9   717.1  3638.4  8033.2  26919.2    27024
read      415.6   559.1    93.8   146.4   166.1   325.0   416.8   465.9   499.4   539.7   592.1   718.9  2632.6  8065.8 13399.8  50023.4    49907
read      254.5   184.2    93.8   156.0   171.8   235.6   262.7   277.7   289.8   304.0   321.7   353.8   645.6  2451.7  7794.0   9160.8     9150
read      336.6   244.5    93.8   144.3   162.0   306.1   372.6   407.8   432.0   459.7   495.1   555.9  1046.6  3665.0  7489.7  34333.6    34328
read      363.7   412.6    93.8   142.6   158.8   296.1   369.1   411.8   443.6   482.5   536.0   631.7  2061.8  6227.6  8200.8  51727.4    51881
read      280.0   163.4   101.3   156.0   174.7   264.9   301.6   321.3   336.4   353.2   373.8   408.7   585.1  2069.4  7354.5  14559.4    14569
read      402.4   636.6    86.8   146.1   162.1   277.3   337.2   371.0   396.8   430.3   489.0   796.4  3428.0  7574.3 10393.4  81548.0    81517
read      351.9   403.6    93.8   143.3   158.6   275.5   343.0   386.4   422.1   468.5   537.3   677.6  1900.5  5619.6 10724.5  78611.8    78694
read      297.9   230.0    86.8   145.3   160.7   261.0   316.9   348.1   370.9   397.2   431.9   496.8  1053.1  2894.6  7270.0  93539.0    93409
read      346.2   256.2    93.8   146.1   163.6   306.3   376.4   415.6   443.8   476.1   519.0   593.2  1279.3  3289.2  7378.0  39103.6    39093
read      300.0   197.2    93.8   155.4   174.8   279.7   326.7   350.9   368.1   388.0   412.4   452.8   654.0  2834.4  7674.1  18799.6    18729
read      432.6   606.2    86.8   147.3   164.2   295.6   363.0   406.1   443.4   492.8   574.9  1238.7  3345.4  7043.6  9627.2  70719.4    70818
read      313.7   207.2    93.8   156.5   176.2   290.1   339.3   366.4   385.9   407.9   436.3   485.4   837.7  3078.2  7312.9  22000.2    21942
read      377.7   517.2    93.8   148.7   165.5   279.8   339.3   373.0   398.5   431.5   487.7   724.1  2985.7  5662.7 12247.4  91780.8    91810
read      364.8   369.9    93.8   146.4   164.8   310.5   382.9   424.2   453.8   488.3   534.6   617.8  1664.1  5688.5  8765.1  39627.2    39588
read      394.7   501.0    93.8   148.5   166.5   314.1   389.6   432.2   463.7   502.1   558.8   690.8  2349.5  7411.3 12054.2  41017.4    40957
read      342.8   385.4    93.8   147.3   162.8   286.9   355.9   397.5   429.1   467.5   521.1   615.0  1255.1  5903.2 12376.4  62641.4    62645
read      308.8   338.0   101.3   159.0   178.9   276.5   316.7   339.8   357.2   377.8   404.7   455.2   939.2  7270.0 10496.5  15467.8    15539
read      432.3   549.6    86.8   162.5   183.9   318.9   387.0   428.9   462.9   508.2   583.4   805.8  3367.0  6288.6  8913.4 107599.8   107672
read      344.1   264.8    93.8   151.2   169.6   312.5   378.9   415.9   442.1   471.0   509.0   572.4   883.9  3643.9  7838.2  32947.4    32954
read      325.3   251.6    86.8   142.2   156.9   280.7   345.3   385.1   415.2   453.1   504.1   604.6  1192.3  2907.4  7412.7  58870.4    58866
read      326.8   232.0    93.8   155.6   175.6   304.2   360.3   390.3   411.1   435.2   467.1   518.7   761.3  3148.4  7918.0  23869.0    23739
read      317.2   227.3    93.8   142.6   157.4   281.5   345.0   382.3   409.7   442.9   488.2   569.9   921.5  3155.8  6285.9  54588.6    54701
read      328.8   285.4    93.8   144.4   159.5   282.9   347.6   386.4   415.3   451.2   498.9   583.6  1325.9  3807.9  8046.4  60613.8    60706
read      343.1   361.4    93.8   143.6   158.8   276.6   344.0   386.7   420.8   464.5   525.8   633.7  1721.8  4844.1  8128.6  72352.0    72350
read      305.8   242.5    93.8   140.9   154.8   274.0   336.3   371.5   398.0   430.3   471.1   539.1   768.2  3345.1  8091.2  58706.8    58661
read      353.9   235.4    93.8   149.7   169.1   321.3   395.0   433.6   460.9   492.9   534.8   601.1  1043.0  3076.9  7175.0  35058.6    34912
read      448.8   590.5    86.8   160.4   181.3   323.1   392.7   434.3   469.0   520.1   608.8  1000.1  3426.4  6645.6 10511.7 103275.6   103268
read      349.3   311.7    93.8   148.9   166.4   309.7   379.6   419.8   448.7   481.7   525.7   593.8   973.4  4177.4  9983.1  38662.4    38703
read      397.5   560.9    86.8   145.6   162.0   280.8   345.3   383.3   412.8   454.4   532.2   850.1  3265.3  6960.2 12972.4  83289.6    83358
read      318.7   277.6    93.8   142.7   157.2   278.1   341.1   377.2   404.0   436.8   480.9   560.0  1074.8  3675.3  8127.7  57367.2    57408
read      294.5   212.2    93.8   142.1   156.8   256.4   313.8   345.6   369.0   396.5   433.1   515.0  1005.0  2735.5  5709.1  86681.0    86837
read      334.7   204.4    93.8   150.0   167.8   309.4   375.1   411.6   437.4   467.3   504.6   565.8   743.6  2876.4  6314.6  33674.2    33517
read      422.9   589.3    93.8   143.6   159.5   286.8   357.1   400.6   436.3   486.0   569.7  1222.6  3331.0  6193.1  8671.0  66199.2    66204
read      332.7   362.7    86.8   142.0   156.7   271.2   338.9   381.7   416.9   462.5   524.6   628.6  1181.0  5736.3  9245.9  73689.6    73758
read      326.1   349.8    93.8   147.9   163.8   267.1   322.9   354.9   377.6   404.6   442.9   519.0  2028.3  3875.7  7781.3  99836.2    99742
read      294.1   236.3    86.8   149.6   165.2   262.8   314.5   344.0   366.0   391.3   424.0   477.2   719.2  3393.9  7471.4 109575.8   109462
read      277.7   183.8    86.8   142.0   156.3   249.3   303.4   333.5   354.7   378.6   407.9   456.1   686.6  2459.4  6823.5  94552.8    94453
read      372.2   363.7    93.8   147.7   165.2   316.8   398.2   446.1   480.3   521.7   575.5   664.6  1281.4  5884.4  8786.4  44215.4    44096
read      419.5   536.5    93.8   162.1   181.9   307.8   370.4   408.1   438.2   479.1   545.7   867.2  3311.1  6038.5  8602.8 100363.2   100467
read      257.7   189.6   101.3   160.3   176.3   239.6   266.3   281.7   293.6   308.8   328.0   360.3   507.9  2826.4  7982.4   8600.8     8576
read      368.9   345.4    93.8   145.9   161.8   292.3   365.0   410.7   447.6   496.7   577.3   816.1  1880.6  4135.6  7779.4  59313.6    59359
read      257.5   164.9   101.3   163.6   179.5   240.9   267.5   283.4   295.0   310.3   330.0   363.2   471.2  2392.1  7679.3   7627.8     7614
read      342.3   284.3    86.8   144.0   159.3   283.9   353.8   396.5   430.1   472.8   535.9   672.9  1519.3  3062.7  7816.6  59961.4    60329
read      357.2   259.3    86.8   146.9   165.3   320.6   402.0   446.6   477.4   514.2   563.4   635.0   878.0  3242.4  8100.7  43697.2    43762
read      405.0   534.7    93.8   145.8   161.7   288.2   359.3   403.7   441.5   490.7   565.5   812.6  3044.1  5891.3  8101.8  66828.6    67038
read      318.6   166.4   101.3   152.6   170.7   302.1   360.2   390.8   411.8   435.2   466.5   513.3   641.1  1876.7  7311.0  26034.8    26095
read      449.6   653.0    86.8   147.3   163.8   297.4   372.5   423.0   464.1   520.4   614.2  1348.4  3578.4  7653.6  9774.5  71138.0    71173
read      335.5   345.9    93.8   153.2   170.1   276.5   333.6   366.0   390.3   420.3   462.9   559.7  1816.9  3993.7  9070.6 109256.2   109276
read      283.0   182.2   101.3   160.0   179.1   266.0   303.1   323.6   339.1   357.3   380.0   416.9   542.1  2071.0  6939.6  13190.4    13150
