Timestamp start: 1778531971715
Timestamp end: 1778533052065

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      437.5   663.0    86.8   144.4   159.5   289.8   360.0   402.6   438.8   489.0   571.0  1316.8  3656.2  7547.5 10426.4  71968.2    72057
read      327.1   332.6    86.8   140.0   153.6   270.9   338.5   378.3   409.0   448.2   500.1   587.0  1512.8  4564.5  8062.5  70112.4    70041
read      289.7   208.0    86.8   141.3   155.9   255.9   312.0   342.5   364.5   390.2   424.2   489.8   926.2  2973.7  7566.4  90002.4    90162
read      442.1   551.2    93.8   148.3   165.8   312.6   397.0   458.1   512.4   595.6   740.0  1079.3  2812.7  7585.4 10283.3  52226.8    52082
read      320.3   276.3    93.8   151.6   169.7   288.7   338.1   366.0   386.6   410.9   443.4   499.6  1124.3  3713.9  7886.6  24244.4    24258
read      419.3   614.9    86.8   142.5   158.5   286.4   355.0   397.9   433.3   481.1   559.2  1021.4  3328.8  7282.1 13303.0  72015.4    72013
read      316.5   315.5    93.8   140.2   154.4   276.8   339.6   375.3   401.7   434.0   476.4   552.5   936.1  4341.3 11300.4  57795.6    58012
read      541.5   922.8    93.8   149.7   170.4   335.3   429.7   487.7   535.1   600.4   749.4  1589.6  5019.7 10578.3 13734.1  45399.6    45398
read      381.5   499.8    86.8   143.9   160.7   298.6   366.6   407.8   439.9   480.6   539.2   663.1  2823.2  7002.1  9355.9  50091.6    50177
read      373.9   381.4    93.8   148.6   168.0   320.9   392.2   430.4   457.9   490.0   534.3   622.8  1628.4  6017.5  8231.5  34595.4    34504
read      423.7   613.9    86.8   142.3   158.2   287.8   353.0   393.6   426.6   469.6   541.5  1186.4  3425.3  7045.2  8108.4  65977.8    66010
read      335.2   388.2    86.8   140.4   154.8   273.2   341.4   383.1   416.2   458.2   512.3   605.1  1511.1  6226.1  9142.8  73938.8    73937
read      303.5   210.9    86.8   141.6   155.9   275.6   335.2   368.4   392.9   422.2   460.1   523.2   807.5  2742.2  8015.1  54995.8    55020
read      363.5   413.8    93.8   142.6   158.9   298.8   369.6   412.3   444.9   485.7   543.4   648.8  1806.2  5891.5  8238.0  53321.0    53235
read      400.2   544.3    86.8   152.2   170.4   293.8   354.5   389.2   415.4   449.7   504.7   760.7  3315.4  6560.0  8418.1  97719.2    97743
read      233.3   169.8   101.3   152.4   165.1   217.7   237.0   249.4   258.1   269.5   285.1   313.0   593.7  2128.5  7299.9   5387.0     5419
read      288.0   264.6   101.3   152.7   170.6   264.9   301.5   322.0   337.0   354.2   375.5   411.7   684.9  4328.0  8037.8  14706.8    14764
read      240.9   181.8   109.4   151.9   166.4   225.3   247.7   261.3   271.1   283.8   299.6   328.4   461.3  2917.2  7813.0   7409.0     7451
read      448.4   650.0    93.8   145.5   164.8   331.4   425.3   476.6   513.2   560.1   626.5   836.8  3188.9  8137.2 15960.7  48325.8    48208
read      325.9   419.7    93.8   151.3   169.9   271.5   312.8   335.6   352.1   372.3   399.9   459.2  1829.7  6706.8  8036.9  16253.6    16149
read      452.6   678.3    86.8   147.1   164.4   292.0   357.0   394.8   426.2   471.4   578.5  1525.3  3780.8  7195.3  8866.9  78948.2    78989
read      308.3   316.7   101.3   152.1   171.0   278.9   323.0   346.8   364.8   385.4   411.3   454.6   928.8  5410.3 10707.4  18892.0    18886
read      450.0   616.7    93.8   149.0   166.4   302.4   375.4   425.3   466.3   523.3   618.8  1407.8  3456.1  6483.1  8103.6  75814.4    75954
read      393.2   426.1    93.8   145.1   164.2   320.5   403.0   449.3   481.8   520.9   575.2   689.9  2229.9  6064.5  8082.8  44263.2    44409
read      294.7   201.3   101.3   154.2   173.3   276.5   316.5   338.7   354.6   372.6   397.0   434.3   719.3  2933.7  7651.9  16546.0    16431
read      575.6   820.1    86.8   161.1   183.7   329.9   403.6   461.1   520.4   654.9  1397.2  2159.2  4054.1  7875.9 11599.1  85571.6    85707
read      526.5   764.7    86.8   146.9   164.7   309.5   386.2   440.6   495.0   599.4   978.4  2101.1  3858.0  7894.3 10976.5  58132.2    58253
read      346.1   332.9    86.8   153.2   171.4   286.3   344.0   377.6   402.4   434.7   486.6   638.3  1745.9  3829.9  7929.2 103779.4   103867
read      365.5   549.4    93.8   151.3   170.2   285.4   334.1   362.3   383.0   408.2   445.0   540.8  2586.5  7953.2 11327.9  21674.2    21604
read      438.2   642.4    86.8   150.3   168.0   293.1   356.0   391.8   419.1   455.5   520.3  1458.5  3567.5  7140.5  8623.1  90380.6    90401
read      329.8   352.0    86.8   141.9   156.9   266.8   331.5   369.5   399.2   439.3   507.0   646.0  1420.3  4456.1  9702.4  84297.2    84467
read      288.4   197.3    80.4   145.4   161.2   260.7   314.1   343.3   364.6   388.9   419.6   467.6   729.6  2879.1  7078.4  99883.4    99700
read      334.1   254.7    93.8   146.4   164.1   301.6   364.0   398.7   424.0   452.8   489.0   546.6  1060.8  3471.5  7746.0  32083.4    32052
read      300.4   215.7    93.8   152.6   171.0   281.3   323.6   346.3   363.7   383.5   409.1   451.8   733.6  3308.8  7717.3  18192.4    18173
read      369.4   467.2    93.8   140.0   153.6   275.8   341.1   380.7   412.1   453.0   510.4   706.5  2719.4  5061.1  8204.6  67780.2    67789
read      349.0   362.0    93.8   141.6   156.7   293.1   360.4   400.4   431.0   468.5   523.5   629.7  1534.1  5258.7  8793.2  51798.6    51929
read      379.3   506.5    86.8   143.7   159.3   272.6   334.3   368.6   394.7   428.2   486.0   813.2  2972.9  5426.7  8024.3  83906.6    83850
read      291.2   183.8    93.8   150.5   168.1   274.9   315.4   338.4   354.9   373.6   398.7   436.2   626.5  2533.0  7815.9  18580.0    18614
read      329.3   247.8    93.8   145.0   161.9   301.9   361.9   393.8   416.1   441.4   473.5   531.5  1031.7  3370.4  7815.0  29207.4    29315
read      445.7   581.7    86.8   163.1   184.6   323.0   388.2   427.4   459.3   502.7   576.3   995.9  3399.8  6403.8  9494.9 107906.4   108090
read      321.6   276.3    93.8   146.2   162.1   294.0   348.3   377.7   398.7   423.5   454.2   502.5   902.4  4424.2  8083.8  26957.2    27024
read      400.5   434.9    86.8   142.7   160.4   325.5   419.8   468.1   502.0   542.6   594.9   716.5  2175.1  5766.0 10715.9  50041.8    49907
read      246.5   176.6   101.3   151.6   167.1   232.0   257.2   271.2   281.8   294.1   311.9   339.7   495.0  2326.7  8001.8   9190.0     9150
read      351.3   350.6    93.8   142.6   158.6   309.6   377.9   413.4   438.3   467.1   504.1   575.6  1314.1  5623.6 10102.3  34364.2    34328
read      341.4   302.3    86.8   141.8   157.3   297.6   369.3   411.5   442.9   480.8   532.7   615.6  1020.4  4326.6  7973.9  51901.6    51881
read      292.8   369.9   101.3   151.7   169.8   261.6   297.0   316.5   330.8   346.4   369.6   405.5   894.9  7033.5 11777.3  14462.2    14569
read      444.9   673.7    86.8   145.9   162.2   287.6   352.2   389.6   419.6   462.6   549.9  1511.4  3705.1  7490.2  9165.5  81716.8    81517
read      330.9   403.2    86.8   140.4   154.4   269.0   336.0   377.8   412.2   456.7   514.1   610.2  1334.6  6229.6 13335.3  78574.4    78694
read      286.4   202.3    86.8   143.5   157.9   254.7   310.1   340.5   362.2   386.8   418.6   471.8   881.2  2556.2  7228.1  93456.2    93409
read      335.6   237.8    93.8   141.6   157.0   304.4   371.8   409.8   436.8   468.2   507.0   574.8  1067.9  3340.2  7354.2  39173.4    39093
read      294.9   209.7    93.8   146.9   163.3   274.0   316.2   339.4   356.3   375.1   400.7   443.8   823.2  2911.8  7761.5  18794.2    18729
read      382.8   504.7    93.8   141.7   155.8   279.1   344.9   385.9   418.9   461.3   524.9   718.2  2916.6  5502.3  8092.5  70880.0    70818
read      334.4   363.0   101.3   150.1   167.3   290.8   341.2   368.7   389.4   414.4   449.8   523.4  1415.3  6115.0 10700.7  21991.0    21942
read      418.6   588.4    93.8   148.9   165.8   289.6   354.4   392.2   421.7   461.7   533.9  1356.9  3296.2  6749.0  9204.0  91880.8    91810
read      388.2   470.9    93.8   144.9   161.8   315.9   393.2   437.7   470.0   508.6   565.6   675.7  1991.7  7540.4 10066.9  39679.0    39588
read      403.4   446.6    93.8   144.8   163.8   332.3   418.9   464.4   496.9   537.3   589.9   702.1  2206.8  6323.6 10143.6  40899.2    40957
read      359.5   461.2    93.8   141.5   155.3   278.1   343.8   383.2   413.3   451.3   503.4   626.4  2616.7  6003.9 10488.6  62744.6    62645
read      292.3   196.7   101.3   153.9   172.5   270.2   311.0   334.0   350.4   370.7   396.9   439.2   780.1  3012.6  7618.3  15551.0    15539
read      430.0   539.5    93.8   163.9   185.1   321.6   388.0   428.6   461.9   507.5   583.1   795.8  3101.9  6411.6 10824.7 107636.2   107672
read      346.9   327.0    93.8   146.4   164.0   310.0   375.5   413.2   439.5   470.6   508.5   576.5   986.5  5008.4  9985.3  32934.0    32954
read      371.1   486.5    86.8   142.4   156.1   282.9   347.4   385.9   415.4   453.4   507.8   679.3  2700.1  6266.9 10334.3  58843.8    58866
read      319.6   185.0    93.8   147.8   165.7   300.3   354.9   384.7   404.7   429.8   461.3   508.6   760.5  2515.4  6994.3  23766.0    23739
read      334.5   371.4    93.8   141.3   155.0   281.9   345.8   383.6   411.4   446.9   496.7   606.9  1306.9  6590.4 10218.8  54698.6    54701
read      307.6   292.5    86.8   140.3   153.4   272.9   335.8   370.8   396.5   426.9   465.9   532.2   816.0  4268.1  9488.7  60460.6    60706
read      356.2   404.1    86.8   146.1   161.7   285.3   355.9   401.7   440.3   490.5   560.0   685.3  1538.9  6364.1  8636.3  72276.4    72350
read      344.6   368.3    93.8   143.8   158.5   287.0   352.0   391.4   422.9   462.8   517.2   616.2  1622.7  5450.1  8416.2  58684.0    58661
read      368.4   329.4    86.8   147.1   167.4   321.9   395.1   434.5   462.8   495.9   540.6   623.6  1493.8  4688.0  8070.0  34789.2    34912
read      478.3   642.4    93.8   172.4   197.3   341.6   409.3   452.9   488.5   537.3   616.2  1199.5  3538.2  7443.3 12194.8 103160.8   103268
read      352.0   298.2    93.8   145.4   163.1   315.1   389.3   430.8   460.5   495.2   539.0   606.9   845.9  4623.5  8337.3  38613.8    38703
read      387.1   516.8    86.8   144.3   160.9   279.6   340.6   375.4   402.0   437.5   502.0   844.3  2974.3  5479.1  9194.4  83356.2    83358
read      310.3   205.6    93.8   141.3   155.2   278.7   341.5   376.9   403.6   437.1   484.6   563.8   837.4  2785.3  6530.4  57464.2    57408
