#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      229.5   136.3    80.4   127.7   140.4   209.5   244.7   267.1   283.5   303.1   328.2   367.4   488.1  2068.5  4017.7  30003.6    30000  1778192007432  1778192017520
read      236.3   152.4    80.4   128.8   142.0   215.4   253.2   274.9   291.3   310.7   336.0   375.2   522.0  2337.2  5050.3  30013.2    30005  1778192019031  1778192029100
read      238.2   138.2    80.4   128.8   142.8   218.0   256.9   280.1   297.0   317.7   344.4   387.2   513.6  2007.3  4908.8  30016.8    30010  1778192030612  1778192040670
read      238.5   158.4    80.4   127.1   140.5   214.7   253.5   276.9   295.0   316.8   344.3   389.6   560.8  2663.9  4895.2  30006.4    30015  1778192042182  1778192052238
read      305.3   262.9    80.4   130.2   144.6   229.2   283.2   320.8   358.5   427.5   564.4   770.5  1276.8  2864.8  6158.8  30004.8    30020  1778192053749  1778192063804
read      235.8   134.2    80.4   127.3   140.8   215.2   253.8   276.9   294.2   314.8   341.5   384.7   522.0  2157.6  3920.0  30064.6    30025  1778192065316  1778192075372
read      236.3   145.5    80.4   128.1   141.6   215.5   253.3   276.0   293.5   314.2   340.8   382.9   505.9  2253.6  4937.3  30075.5    30030  1778192076883  1778192086938
read      230.7   154.8    80.4   126.7   139.8   209.3   244.8   267.4   283.9   303.7   329.7   369.7   493.7  2731.4  6032.1  30101.9    30035  1778192088449  1778192098505
read      244.1   175.2    74.4   126.4   140.3   217.5   258.4   283.2   301.4   323.4   352.8   400.4   628.8  2891.6  5109.2  30046.7    30040  1778192100018  1778192110075
read      234.8   141.6    74.4   128.6   142.0   214.5   251.5   274.2   291.6   312.1   338.8   379.1   500.2  2194.3  4398.7  29971.9    30045  1778192111587  1778192121640
read      236.6   140.3    80.4   129.3   142.8   216.0   253.8   276.2   294.2   315.4   342.1   383.1   497.3  2226.6  4168.3  30031.3    30050  1778192123152  1778192133206
read      230.3   142.6    80.4   126.3   139.8   210.6   246.0   268.1   284.9   304.9   330.4   370.4   478.7  2162.4  4334.1  30108.5    30055  1778192134719  1778192144776
read      237.6    89.5    80.4   130.2   145.3   223.0   262.0   284.8   301.4   320.8   346.9   387.9   472.6   710.5  2296.6  30046.4    30060  1778192146286  1778192156341
read      252.7   109.0    74.4   129.5   145.5   232.0   278.4   307.1   328.5   353.8   385.7   432.6   544.8   808.4  2851.7  30090.2    30065  1778192157852  1778192167906
read      233.7    99.3    74.4   124.9   139.3   216.0   256.6   281.9   300.6   322.7   352.3   395.1   476.4   691.6  2901.6  30055.0    30070  1778192169418  1778192179471
read      245.6   104.5    74.4   131.1   147.4   227.6   269.7   295.3   315.0   339.4   369.1   411.9   496.7   661.6  3139.9  30082.5    30075  1778192180983  1778192191039
read      250.8   104.3    74.4   135.3   150.9   231.6   275.5   303.3   323.0   346.2   375.1   418.7   504.9   775.2  3174.7  30083.4    30080  1778192192551  1778192202606
read      237.3   111.4    80.4   130.6   144.8   221.4   260.4   283.1   299.4   318.9   344.7   383.8   469.6  1030.4  3989.4  30090.6    30085  1778192204120  1778192214175
read      240.6   109.3    80.4   133.7   148.7   224.4   263.1   285.7   302.5   322.2   348.0   388.8   478.0   973.6  3716.3  29961.1    30090  1778192215687  1778192225743
read      231.9    93.3    80.4   133.0   146.4   217.0   253.3   274.7   290.8   309.9   334.4   370.6   452.6   827.0  3070.6  30170.8    30095  1778192227253  1778192237310
read      233.2    98.2    80.4   132.7   147.3   220.2   255.7   276.7   292.1   310.1   333.2   368.5   441.9   691.5  3156.2  30222.0    30100  1778192238824  1778192248882
read      234.1    93.7    80.4   136.5   150.2   219.6   254.9   275.8   292.2   311.5   335.9   371.1   448.4   744.0  2662.8  30110.6    30105  1778192250394  1778192260449
read      236.4    95.1    80.4   133.2   147.3   222.0   259.9   282.5   298.7   317.9   342.5   379.0   458.7   758.8  2934.0  30095.0    30110  1778192261960  1778192272014
read      241.5    91.7    80.4   136.1   151.0   226.0   264.4   287.4   304.6   325.1   351.4   392.3   480.3   726.8  2309.7  30126.6    30115  1778192273527  1778192283584
read      240.5    95.4    80.4   132.1   147.7   224.6   264.0   288.0   305.8   326.7   353.6   393.1   471.7   790.1  3084.4  30086.3    30120  1778192285096  1778192295152
read      236.7   105.7    74.4   128.7   144.2   221.2   260.6   284.4   301.8   322.1   347.8   387.2   464.6   682.8  3099.3  30104.2    30125  1778192296665  1778192306721
read      239.2    92.4    74.4   131.3   146.7   223.2   262.9   286.8   304.3   325.2   351.8   392.5   484.5   718.1  2445.1  30174.5    30130  1778192308234  1778192318289
read      244.0    98.5    74.4   136.2   151.3   227.6   266.5   289.8   307.6   329.1   357.1   398.9   490.8   767.1  3089.5  30149.9    30135  1778192319801  1778192329855
read      250.2    92.4    74.4   138.5   154.6   234.5   274.8   298.7   316.5   337.6   364.4   404.1   501.5   718.5  2069.6  30195.8    30140  1778192331371  1778192341429
