Timestamp start: 1778604822970
Timestamp end: 1778605903259

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      249.5   224.6    93.8   161.2   173.5   227.9   250.7   264.3   273.5   286.4   302.4   332.9   683.8  3129.9  7984.2   6912.4     6927
read      349.3   466.7    80.4   129.6   145.2   269.7   337.2   387.9   430.9   478.1   536.1   634.0  2016.8  7376.7 10442.9  52905.9    52892
read      287.4   314.7    74.4   125.4   139.9   235.6   284.7   312.8   334.5   364.2   416.7   540.0  1224.2  4303.4  7951.6  98786.5    98921
read      305.6   334.0    80.4   125.7   139.9   253.8   312.2   347.9   383.2   431.6   492.3   582.6  1032.9  5552.6  9308.9  61126.0    61129
read      359.3   441.8    80.4   133.0   150.8   288.2   362.8   413.7   448.3   487.7   534.0   613.3  1977.4  7061.1 11315.0  40600.5    40613
read      338.0   441.8    80.4   128.8   144.1   268.6   337.0   387.5   428.6   474.3   529.5   613.3  1481.3  7505.1 11549.5  53154.2    53226
read      339.3   333.7    80.4   134.1   151.9   287.4   358.8   407.1   439.3   473.7   516.4   579.8  1473.5  4983.4  8015.2  38615.4    38560
read      297.3   445.2    74.4   125.3   140.1   239.0   287.4   314.5   335.4   362.9   406.9   499.6  1374.5  6694.8  9845.0 103460.5   103465
read      263.4   211.7    74.4   124.7   139.1   233.3   279.6   305.4   324.1   346.8   383.5   456.5   775.3  3071.8  6898.1 104835.7   104758
read      255.8   175.4    74.4   124.8   139.0   231.7   277.9   303.2   320.7   343.0   374.3   440.0   665.4  2199.4  7048.6  94696.6    94759
read      346.3   366.8    80.4   134.6   152.6   286.6   355.7   404.7   437.9   474.7   520.5   590.4  1722.8  5158.2  8537.9  37778.1    37799
read      256.2   208.3    93.8   162.1   175.5   237.1   263.3   276.9   288.0   300.1   316.7   344.9   614.1  3055.1  7897.7   8273.5     8296
read      332.1   486.7    80.4   124.9   139.1   249.5   309.1   346.4   384.6   437.2   501.7   602.2  2409.3  6823.4 10533.4  69390.1    69443
read      268.4   196.8    93.8   157.1   173.3   249.7   281.3   298.1   311.1   325.6   345.2   385.2   641.0  2656.0  7826.8  12585.9    12517
read      363.9   449.6    80.4   131.2   148.4   288.6   370.5   425.2   459.9   497.9   542.3   625.3  2072.0  7204.7 10250.1  43533.3    43591
read      323.6   368.8    86.8   150.3   168.6   274.7   319.7   345.0   365.5   393.2   431.6   503.3  1704.4  5725.3  9295.3  20425.2    20430
read      304.3   477.1    74.4   125.4   140.1   238.5   287.4   314.7   335.7   363.4   408.2   505.5  2011.0  6903.9 11617.4  93572.2    93758
