Timestamp start: 1778603666686
Timestamp end: 1778604746988

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      336.5   543.5    74.4   127.6   141.5   250.0   313.7   354.3   392.2   439.3   499.3   592.9  2072.5  7007.2  9329.9  72023.8    72057
read      298.1   297.9    74.4   126.2   139.9   244.9   306.4   343.9   379.6   427.1   486.1   573.0   971.4  4483.1  7994.8  70036.6    70041
read      275.8   284.4    80.4   126.4   140.2   234.5   284.0   311.4   331.7   358.3   401.5   491.0   936.7  4530.3  7839.7  90267.3    90162
read      318.1   283.7    80.4   132.9   148.2   268.0   330.5   373.9   415.6   464.3   526.3   620.5   948.7  4278.0  8134.3  52064.3    52082
read      322.0   207.3    80.4   149.4   168.6   294.9   348.1   384.7   414.4   445.7   482.3   535.8   745.0  2952.4  7310.5  24298.8    24258
read      323.9   474.3    80.4   126.3   140.1   247.0   310.0   349.4   387.9   435.9   497.0   590.9  1708.9  6866.9  9760.4  71999.7    72013
read      281.1   188.0    80.4   127.9   141.3   248.3   304.8   337.6   365.3   404.2   455.9   528.6   729.1  2444.7  5752.1  58053.0    58012
read      373.1   403.5    80.4   135.5   153.3   309.0   409.0   465.6   502.0   539.6   585.1   664.5  1259.6  6540.0 10619.1  45381.4    45398
read      337.6   311.5    80.4   132.5   148.6   277.9   349.7   408.7   452.9   502.5   560.2   654.5  1068.5  4617.2  8018.1  50183.1    50177
read      339.4   292.0    80.4   139.7   158.0   297.2   365.7   416.3   450.3   487.0   529.0   587.6   909.1  3979.3  9587.8  34510.5    34504
read      316.6   436.4    74.4   127.8   141.7   249.3   308.6   343.8   374.9   420.7   476.4   564.7  1633.9  6520.0  9629.9  65910.2    66010
read      245.9   110.5    74.4   125.8   139.5   230.9   277.1   301.0   317.3   336.8   362.7   411.0   537.2   925.9  2970.9  73973.3    73937
read      248.7   106.2    80.4   130.7   145.1   240.2   282.2   302.8   316.8   333.7   355.1   393.2   499.9   789.7  2761.0  55060.4    55020
read      249.8   105.5    80.4   131.8   146.4   241.9   283.7   304.1   317.7   334.2   354.9   391.1   495.2   802.6  3168.5  53193.0    53235
read      247.0   125.5    74.4   123.3   137.2   227.5   273.6   298.5   316.4   338.1   369.0   431.7   579.2  1377.6  2986.2  97857.4    97743
read      230.9   100.7   101.3   163.6   175.7   223.8   241.7   251.9   259.9   269.6   282.5   304.6   374.5  1359.0  4693.1   5439.5     5419
read      246.2    78.4    86.8   162.3   177.9   242.7   265.2   276.7   286.2   295.8   310.9   334.1   399.4   764.8  2982.2  14761.8    14764
read      233.6    83.4    93.8   164.1   177.2   227.9   246.8   257.2   265.6   274.0   288.3   310.6   377.6   960.0  3473.0   7424.9     7451
read      250.6   108.5    80.4   133.3   148.5   244.4   283.7   302.8   315.9   331.7   351.1   386.8   491.5   818.2  2527.4  48152.6    48208
read      246.9    79.1    86.8   160.7   176.5   243.9   266.6   278.2   287.6   296.9   312.0   334.7   401.3   840.7  2705.9  16148.8    16149
read      244.3   111.8    74.4   123.6   137.2   228.3   274.7   298.9   315.8   335.8   362.7   413.8   544.9   956.0  2627.4  78869.4    78989
read      252.1    82.0    86.8   158.1   175.3   249.8   273.9   287.7   296.5   308.8   321.7   345.8   417.3   674.8  2749.7  18805.3    18886
read      244.8   121.9    74.4   123.7   137.4   229.3   275.5   299.2   315.7   335.3   361.6   411.7   543.7  1013.2  3132.1  75961.0    75954
read      253.9    94.4    80.4   137.0   152.2   249.5   287.2   305.8   318.2   333.8   352.8   386.8   486.7   815.0  2343.1  44427.3    44409
read      249.8    88.6    93.8   162.0   178.2   246.6   269.6   282.2   291.2   301.8   316.0   339.1   403.0   763.2  3973.1  16367.3    16431
read      243.2   113.1    74.4   122.5   135.9   225.8   272.4   296.7   314.2   334.7   362.7   416.9   552.4  1095.7  2721.3  85700.6    85707
read      250.1   117.5    74.4   129.2   143.4   239.0   282.4   304.0   318.5   336.5   360.0   401.2   528.4  1021.5  3740.9  58305.1    58253
read      251.2   128.4    74.4   125.3   139.3   230.7   277.4   302.8   320.4   342.9   375.7   443.3   590.9  1359.3  3329.0 103765.1   103867
read      254.0    73.8    86.8   157.4   174.7   251.6   277.0   290.9   300.5   312.7   327.7   352.6   434.1   712.5  2014.1  21734.4    21604
read      244.5   119.7    74.4   122.9   136.5   226.6   272.6   297.0   314.5   335.3   363.9   421.8   567.2  1168.7  2859.3  90317.8    90401
