iso_timestamp,unix_timestamp_ms,cpu_0,cpu_1,cpu_2,cpu_3
2026-05-12T16:14:44.743030,1778602484743,31.30,48.90,25.30,88.00
2026-05-12T16:14:45.743422,1778602485743,27.50,100.00,12.40,100.00
2026-05-12T16:14:46.743892,1778602486743,20.80,100.00,7.10,100.00
2026-05-12T16:14:47.744303,1778602487744,38.80,100.00,52.50,100.00
2026-05-12T16:14:48.744946,1778602488744,27.30,100.00,100.00,100.00
2026-05-12T16:14:49.745351,1778602489745,33.70,100.00,100.00,100.00
2026-05-12T16:14:50.745897,1778602490745,27.30,100.00,100.00,100.00
2026-05-12T16:14:51.746284,1778602491746,23.60,100.00,100.00,100.00
2026-05-12T16:14:52.746844,1778602492746,30.40,100.00,100.00,100.00
2026-05-12T16:14:53.747360,1778602493747,20.60,100.00,100.00,100.00
2026-05-12T16:14:54.747931,1778602494747,33.00,100.00,100.00,100.00
2026-05-12T16:14:55.748381,1778602495748,20.60,100.00,100.00,100.00
2026-05-12T16:14:56.749029,1778602496749,30.70,100.00,100.00,100.00
2026-05-12T16:14:57.749418,1778602497749,22.10,100.00,100.00,100.00
2026-05-12T16:14:58.750042,1778602498750,75.90,97.10,100.00,100.00
2026-05-12T16:14:59.750519,1778602499750,64.90,66.20,100.00,100.00
2026-05-12T16:15:00.751417,1778602500751,63.70,68.20,100.00,100.00
2026-05-12T16:15:01.751923,1778602501751,74.80,81.00,100.00,100.00
2026-05-12T16:15:02.752497,1778602502752,86.20,100.00,100.00,100.00
2026-05-12T16:15:03.753222,1778602503753,90.80,98.10,100.00,100.00
2026-05-12T16:15:04.753717,1778602504753,65.20,66.70,100.00,100.00
2026-05-12T16:15:05.754436,1778602505754,65.90,69.50,100.00,100.00
2026-05-12T16:15:06.754930,1778602506754,82.80,90.70,100.00,100.00
2026-05-12T16:15:07.755347,1778602507755,88.70,100.00,100.00,100.00
2026-05-12T16:15:08.756019,1778602508756,82.80,85.00,100.00,100.00
2026-05-12T16:15:09.756475,1778602509756,66.20,67.40,100.00,100.00
2026-05-12T16:15:10.757497,1778602510757,71.20,72.60,100.00,100.00
2026-05-12T16:15:11.758110,1778602511758,87.00,100.00,100.00,100.00
2026-05-12T16:15:12.758749,1778602512758,90.00,100.00,100.00,100.00
2026-05-12T16:15:13.759484,1778602513759,98.10,100.00,100.00,100.00
2026-05-12T16:15:14.760070,1778602514760,89.20,88.20,90.90,100.00
2026-05-12T16:15:15.760727,1778602515760,79.20,80.00,82.20,100.00
2026-05-12T16:15:16.761233,1778602516761,76.80,76.60,78.90,100.00
2026-05-12T16:15:17.761872,1778602517761,80.80,80.50,83.80,100.00
2026-05-12T16:15:18.762972,1778602518762,77.40,76.60,79.50,100.00
2026-05-12T16:15:19.763666,1778602519763,79.30,80.30,83.10,100.00
2026-05-12T16:15:20.764385,1778602520764,78.00,77.90,81.00,100.00
2026-05-12T16:15:21.764979,1778602521764,77.20,75.60,80.50,100.00
2026-05-12T16:15:22.765514,1778602522765,80.00,79.20,83.80,100.00
2026-05-12T16:15:23.766145,1778602523766,76.00,77.00,78.70,100.00
2026-05-12T16:15:24.766931,1778602524766,79.80,79.20,82.40,100.00
2026-05-12T16:15:25.767400,1778602525767,77.20,75.00,78.90,100.00
2026-05-12T16:15:26.768136,1778602526768,79.20,79.30,83.20,100.00
2026-05-12T16:15:27.768756,1778602527768,78.70,80.20,81.50,100.00
2026-05-12T16:15:28.769423,1778602528769,70.70,69.90,72.60,100.00
2026-05-12T16:15:29.770038,1778602529770,95.20,100.00,100.00,100.00
2026-05-12T16:15:30.770748,1778602530770,94.30,100.00,100.00,100.00
2026-05-12T16:15:31.771479,1778602531771,78.00,75.00,100.00,100.00
2026-05-12T16:15:32.772304,1778602532772,69.50,69.30,100.00,100.00
2026-05-12T16:15:33.773093,1778602533773,71.30,73.40,100.00,100.00
2026-05-12T16:15:34.773566,1778602534773,68.50,69.60,100.00,100.00
2026-05-12T16:15:35.774424,1778602535774,71.40,73.60,100.00,100.00
2026-05-12T16:15:36.774983,1778602536774,65.40,73.40,100.00,100.00
2026-05-12T16:15:37.775404,1778602537775,66.70,72.70,100.00,100.00
2026-05-12T16:15:38.775909,1778602538775,70.10,74.20,100.00,100.00
2026-05-12T16:15:39.776695,1778602539776,70.30,73.20,100.00,100.00
2026-05-12T16:15:40.777615,1778602540777,72.40,75.80,100.00,100.00
2026-05-12T16:15:41.778451,1778602541778,66.90,73.80,100.00,100.00
2026-05-12T16:15:42.779198,1778602542779,71.20,73.80,100.00,100.00
2026-05-12T16:15:43.779874,1778602543779,69.50,79.10,100.00,100.00
2026-05-12T16:15:44.780276,1778602544780,81.50,100.00,100.00,100.00
2026-05-12T16:15:45.780946,1778602545780,76.20,100.00,100.00,100.00
2026-05-12T16:15:46.781371,1778602546781,77.10,100.00,100.00,100.00
2026-05-12T16:15:47.784157,1778602547784,79.80,100.00,100.00,100.00
2026-05-12T16:15:48.784587,1778602548784,78.90,100.00,100.00,100.00
2026-05-12T16:15:49.785067,1778602549785,81.10,100.00,100.00,100.00
2026-05-12T16:15:50.785495,1778602550785,78.30,100.00,100.00,100.00
2026-05-12T16:15:51.785927,1778602551785,80.50,100.00,100.00,100.00
2026-05-12T16:15:52.786419,1778602552786,76.20,100.00,100.00,100.00
2026-05-12T16:15:53.787003,1778602553787,81.30,100.00,100.00,100.00
2026-05-12T16:15:54.787814,1778602554787,76.90,100.00,100.00,100.00
2026-05-12T16:15:55.788200,1778602555788,77.50,100.00,100.00,100.00
2026-05-12T16:15:56.788930,1778602556788,82.50,100.00,100.00,100.00
2026-05-12T16:15:57.789435,1778602557789,76.90,100.00,100.00,100.00
2026-05-12T16:15:58.789908,1778602558789,89.40,100.00,100.00,100.00
2026-05-12T16:15:59.790408,1778602559790,72.80,74.20,100.00,100.00
2026-05-12T16:16:00.791289,1778602560791,66.70,63.40,100.00,100.00
2026-05-12T16:16:01.791916,1778602561791,77.50,80.20,100.00,100.00
2026-05-12T16:16:02.792480,1778602562792,87.80,100.00,100.00,100.00
2026-05-12T16:16:03.793014,1778602563793,90.90,100.00,100.00,100.00
2026-05-12T16:16:04.793515,1778602564793,75.00,78.20,100.00,100.00
2026-05-12T16:16:05.794028,1778602565794,67.40,68.20,100.00,100.00
2026-05-12T16:16:06.794461,1778602566794,65.90,68.40,100.00,100.00
2026-05-12T16:16:07.794941,1778602567794,66.20,67.20,100.00,100.00
2026-05-12T16:16:08.795524,1778602568795,86.10,96.10,100.00,100.00
2026-05-12T16:16:09.796014,1778602569796,87.10,100.00,100.00,100.00
2026-05-12T16:16:10.796480,1778602570796,90.80,100.00,100.00,100.00
2026-05-12T16:16:11.797134,1778602571797,69.20,67.70,100.00,100.00
2026-05-12T16:16:12.797935,1778602572797,69.50,68.30,100.00,100.00
2026-05-12T16:16:13.798502,1778602573798,70.70,86.20,100.00,100.00
2026-05-12T16:16:14.799266,1778602574799,75.80,100.00,100.00,100.00
2026-05-12T16:16:15.800054,1778602575800,78.10,100.00,100.00,100.00
2026-05-12T16:16:16.800609,1778602576800,75.20,100.00,100.00,100.00
2026-05-12T16:16:17.801208,1778602577801,78.60,100.00,100.00,100.00
2026-05-12T16:16:18.801938,1778602578801,76.20,100.00,100.00,100.00
2026-05-12T16:16:19.802471,1778602579802,80.20,100.00,100.00,100.00
2026-05-12T16:16:20.803387,1778602580803,75.20,100.00,100.00,100.00
2026-05-12T16:16:21.803971,1778602581803,79.40,100.00,100.00,100.00
2026-05-12T16:16:22.804917,1778602582804,75.00,100.00,100.00,100.00
2026-05-12T16:16:23.805311,1778602583805,74.60,100.00,100.00,100.00
2026-05-12T16:16:24.806099,1778602584806,78.70,100.00,100.00,100.00
2026-05-12T16:16:25.806579,1778602585806,74.60,100.00,100.00,100.00
2026-05-12T16:16:26.807245,1778602586807,79.40,100.00,100.00,100.00
2026-05-12T16:16:27.807789,1778602587807,75.20,100.00,100.00,100.00
2026-05-12T16:16:28.811109,1778602588811,96.20,100.00,100.00,100.00
2026-05-12T16:16:29.811693,1778602589811,89.80,92.50,99.00,100.00
2026-05-12T16:16:30.812297,1778602590812,79.50,79.50,84.60,100.00
2026-05-12T16:16:31.813027,1778602591813,82.20,80.30,84.30,100.00
2026-05-12T16:16:32.813714,1778602592813,78.70,76.90,80.80,100.00
2026-05-12T16:16:33.814762,1778602593814,80.50,81.40,84.30,100.00
2026-05-12T16:16:34.815662,1778602594815,78.90,77.90,82.20,100.00
2026-05-12T16:16:35.816365,1778602595816,81.40,79.70,83.80,100.00
2026-05-12T16:16:36.817315,1778602596817,79.30,77.20,81.50,100.00
2026-05-12T16:16:37.817978,1778602597817,82.10,82.20,85.20,100.00
2026-05-12T16:16:38.818482,1778602598818,78.30,78.50,81.70,100.00
2026-05-12T16:16:39.819718,1778602599819,78.40,78.50,82.20,100.00
2026-05-12T16:16:40.820281,1778602600820,81.40,81.50,84.30,100.00
2026-05-12T16:16:41.821075,1778602601821,78.50,77.70,80.80,100.00
2026-05-12T16:16:42.821976,1778602602821,80.70,82.10,84.50,100.00
2026-05-12T16:16:43.822944,1778602603822,80.30,77.70,81.50,100.00
2026-05-12T16:16:44.823486,1778602604823,82.10,82.10,85.70,100.00
2026-05-12T16:16:45.824138,1778602605824,78.30,78.50,81.70,100.00
2026-05-12T16:16:46.824887,1778602606824,82.10,82.10,86.00,100.00
2026-05-12T16:16:47.826558,1778602607826,80.20,77.50,81.70,100.00
2026-05-12T16:16:48.827408,1778602608827,79.80,77.70,84.30,100.00
2026-05-12T16:16:49.828013,1778602609828,82.40,80.30,83.80,100.00
2026-05-12T16:16:50.828690,1778602610828,80.00,77.90,81.40,100.00
2026-05-12T16:16:51.829479,1778602611829,80.80,79.50,85.20,100.00
2026-05-12T16:16:52.830403,1778602612830,80.50,79.30,82.80,100.00
2026-05-12T16:16:53.831455,1778602613831,83.10,82.60,86.10,100.00
2026-05-12T16:16:54.832414,1778602614832,80.70,81.70,83.80,100.00
2026-05-12T16:16:55.833235,1778602615833,82.20,83.60,84.50,100.00
2026-05-12T16:16:56.834273,1778602616834,81.50,80.70,84.30,100.00
2026-05-12T16:16:57.835102,1778602617835,81.50,79.70,83.80,100.00
2026-05-12T16:16:58.835997,1778602618836,76.90,75.40,79.20,100.00
2026-05-12T16:16:59.837173,1778602619837,76.60,74.20,77.90,100.00
2026-05-12T16:17:00.838056,1778602620838,77.90,78.30,80.70,100.00
2026-05-12T16:17:01.838488,1778602621838,75.60,75.20,77.20,100.00
2026-05-12T16:17:02.839384,1778602622839,77.70,75.80,79.70,100.00
2026-05-12T16:17:03.840044,1778602623840,76.20,74.00,77.40,100.00
2026-05-12T16:17:04.840500,1778602624840,79.20,77.50,80.70,100.00
2026-05-12T16:17:05.841143,1778602625841,74.20,74.40,77.00,100.00
2026-05-12T16:17:06.841672,1778602626841,76.20,74.80,78.30,100.00
2026-05-12T16:17:07.842227,1778602627842,77.20,76.20,80.20,100.00
2026-05-12T16:17:08.842856,1778602628842,75.80,73.20,78.90,100.00
2026-05-12T16:17:09.843503,1778602629843,79.20,79.00,80.70,100.00
2026-05-12T16:17:10.844338,1778602630844,75.20,73.60,77.40,100.00
2026-05-12T16:17:11.845909,1778602631845,78.30,77.40,80.70,100.00
2026-05-12T16:17:12.846644,1778602632846,76.00,74.60,78.20,100.00
2026-05-12T16:17:13.847328,1778602633847,58.60,59.80,85.60,100.00
2026-05-12T16:17:14.847971,1778602634847,74.00,96.10,100.00,100.00
2026-05-12T16:17:15.848476,1778602635848,75.80,100.00,100.00,100.00
2026-05-12T16:17:16.849428,1778602636849,78.10,100.00,100.00,100.00
2026-05-12T16:17:17.849899,1778602637849,74.60,100.00,100.00,100.00
2026-05-12T16:17:18.850396,1778602638850,78.90,100.00,100.00,100.00
2026-05-12T16:17:19.850890,1778602639850,73.70,100.00,100.00,100.00
2026-05-12T16:17:20.851437,1778602640851,78.30,100.00,100.00,100.00
