Timestamp start: 1778602482670
Timestamp end: 1778603562969

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      263.6   282.8   101.3   164.0   176.7   235.0   259.4   272.6   283.4   295.4   315.8   356.5   860.2  4543.5  8737.9   6935.0     6927
read      350.1   467.5    80.4   129.3   144.4   268.2   350.3   402.9   440.9   481.9   535.1   632.4  1926.7  7301.1 10248.5  52894.0    52892
read      293.1   434.0    74.4   125.2   139.5   234.3   284.6   315.1   339.9   370.3   410.6   477.7  1370.9  6528.7  9468.5  98822.6    98921
read      303.9   297.7    80.4   125.3   139.3   250.7   316.3   365.1   401.2   444.4   495.5   583.6  1011.5  4458.9  9335.2  61086.5    61129
read      366.3   433.8    80.4   133.8   150.9   293.5   388.0   434.3   462.9   495.7   538.2   622.0  2074.3  6271.7 11482.9  40658.8    40613
read      341.6   440.9    74.4   128.5   143.4   266.1   344.5   397.2   434.1   474.3   527.7   625.2  1818.1  6375.8 11040.3  53175.1    53226
read      354.9   384.9    80.4   133.9   151.2   291.4   382.3   427.3   455.8   486.8   526.4   599.5  1685.8  6204.1  8467.7  38540.4    38560
read      302.7   445.5    74.4   127.1   141.7   239.8   290.8   321.6   347.4   380.3   424.8   501.0  1671.5  6657.8  8775.6 103440.1   103465
read      262.3   207.7    74.4   125.0   139.1   230.6   278.9   307.0   329.8   359.4   397.8   460.5   725.1  2899.1  7621.6 104919.9   104758
read      253.7   169.8    74.4   123.0   136.6   226.3   275.1   302.8   324.7   353.5   391.4   451.1   644.4  2086.4  5648.2  94714.5    94759
read      356.4   421.6    80.4   135.6   152.7   289.1   376.5   421.1   450.3   481.2   521.5   595.3  1785.5  6870.2 10610.7  37737.8    37799
read      254.0   168.3    93.8   159.1   172.8   238.0   264.3   277.9   289.1   301.9   319.7   357.8   580.5  2490.5  7362.6   8326.0     8296
read      315.9   459.0    74.4   123.0   136.3   239.7   301.4   346.5   384.4   428.5   480.9   565.7  1863.2  6631.5 10461.6  69342.7    69443
