interference,p95,QPS,target,run
l1i,1670.5,14994.0,15000,1
l1i,1720.6,19953.2,20000,1
l1i,5635.9,23438.8,25000,1
l1i,5771.7,23715.2,30000,1
l1i,5765.3,23672.6,35000,1
l1i,5885.6,23436.0,40000,1
l1i,6464.6,23013.8,45000,1
l1i,5805.3,23551.8,50000,1
l1i,5673.4,23780.8,55000,1
l1i,5865.0,23930.0,60000,1
l1i,5496.6,24186.6,65000,1
l1i,5816.3,23755.6,70000,1
l1i,5547.0,24053.2,75000,1
l1i,5780.3,23882.0,80000,1
l1i,1563.3,4974.2,5000,2
l1i,1605.1,10019.2,10000,2
l1i,1662.2,14919.6,15000,2
l1i,1775.6,19998.2,20000,2
l1i,5274.5,23606.6,25000,2
l1i,5753.7,23714.6,30000,2
l1i,5692.7,23855.8,35000,2
l1i,5331.8,24561.2,40000,2
l1i,5537.8,24255.0,45000,2
l1i,5819.5,23509.2,50000,2
l1i,6014.9,23434.2,55000,2
l1i,5664.8,24044.2,60000,2
l1i,5453.2,24462.4,65000,2
l1i,5471.1,24090.8,70000,2
l1i,5496.6,24050.2,75000,2
l1i,5606.7,24218.4,80000,2
l1i,1545.9,4990.0,5000,3
l1i,1602.0,9953.0,10000,3
l1i,1682.5,14947.2,15000,3
l1i,1722.8,19973.0,20000,3
l1i,5328.6,24434.8,25000,3
l1i,5722.1,23947.0,30000,3
l1i,5863.3,23616.4,35000,3
l1i,6266.5,23111.2,40000,3
l1i,5871.9,23353.6,45000,3
l1i,5730.1,23678.0,50000,3
l1i,5643.8,24226.4,55000,3
l1i,5564.6,24002.6,60000,3
l1i,5981.8,23287.8,65000,3
l1i,5976.2,23419.0,70000,3
l1i,6106.4,23404.8,75000,3
l1i,5936.9,23720.2,80000,3
l2,400.8,5007.8,5000,1
l2,449.2,9969.2,10000,1
l2,503.7,14958.8,15000,1
l2,543.8,20034.4,20000,1
l2,594.8,24923.6,25000,1
l2,678.9,30001.4,30000,1
l2,1547.0,35035.2,35000,1
l2,3211.2,36452.6,40000,1
l2,3318.6,35503.2,45000,1
l2,3291.2,35709.0,50000,1
l2,3299.7,36073.3,55000,1
l2,3278.9,36320.3,60000,1
l2,3279.6,35599.8,65000,1
l2,3142.8,37529.6,70000,1
l2,3365.3,35466.6,75000,1
l2,3238.1,36609.7,80000,1
l2,394.8,4966.8,5000,2
l2,443.2,9939.2,10000,2
l2,496.4,15058.6,15000,2
l2,541.0,19994.2,20000,2
l2,589.8,24952.4,25000,2
l2,675.7,29870.0,30000,2
l2,1404.7,35002.4,35000,2
l2,3296.3,35385.4,40000,2
l2,3320.0,35387.6,45000,2
l2,3315.9,35615.2,50000,2
l2,3255.2,36228.0,55000,2
l2,3307.9,35912.0,60000,2
l2,3276.6,36022.0,65000,2
l2,3240.2,36198.9,70000,2
l2,3329.4,35610.0,75000,2
l2,3419.5,34972.2,80000,2
l2,393.0,4979.2,5000,3
l2,439.6,10013.4,10000,3
l2,501.6,14958.8,15000,3
l2,548.7,20112.2,20000,3
l2,580.8,24898.0,25000,3
l2,698.3,29962.8,30000,3
l2,1622.5,34927.8,35000,3
l2,3296.8,35740.6,40000,3
l2,3283.6,36028.4,45000,3
l2,3292.5,35918.8,50000,3
l2,3282.6,35718.7,55000,3
l2,3266.8,36308.4,60000,3
l2,3200.8,36445.6,65000,3
l2,3235.7,36287.8,70000,3
l2,3391.1,35143.2,75000,3
l2,3444.3,35771.6,80000,3
llc,476.4,4966.8,5000,1
llc,666.0,10051.8,10000,1
llc,689.8,15032.4,15000,1
llc,1269.8,19926.6,20000,1
llc,1983.7,25047.2,25000,1
llc,3196.1,29492.6,30000,1
llc,3655.5,33309.0,35000,1
llc,3305.8,35221.2,40000,1
llc,3407.8,35105.9,45000,1
llc,3298.3,35936.2,50000,1
llc,3390.9,34606.0,55000,1
llc,3647.9,33081.0,60000,1
llc,3428.5,34670.8,65000,1
llc,3358.2,35532.0,70000,1
llc,3622.5,32073.6,75000,1
llc,3870.8,31423.0,80000,1
llc,505.9,4988.4,5000,2
llc,608.0,9976.8,10000,2
llc,749.9,15019.8,15000,2
llc,1174.3,20044.8,20000,2
llc,1685.3,25135.8,25000,2
llc,2936.8,29863.2,30000,2
llc,3604.0,32688.2,35000,2
llc,3680.2,32637.0,40000,2
llc,3610.0,33693.6,45000,2
llc,3644.5,33063.0,50000,2
llc,3732.8,32986.4,55000,2
llc,3553.1,33569.8,60000,2
llc,3349.4,35525.1,65000,2
llc,3652.8,31801.4,70000,2
llc,3356.1,36264.4,75000,2
llc,3412.5,34617.2,80000,2
llc,474.6,5020.9,5000,3
llc,631.5,9939.2,10000,3
llc,737.2,14964.8,15000,3
llc,1077.7,19989.0,20000,3
llc,2054.2,25059.2,25000,3
llc,3180.0,29999.2,30000,3
llc,3566.7,33714.6,35000,3
llc,3562.6,32496.2,40000,3
llc,3418.3,34725.1,45000,3
llc,3410.6,34867.8,50000,3
llc,3500.1,33588.0,55000,3
llc,3647.4,33030.4,60000,3
llc,3555.9,34260.8,65000,3
llc,3584.6,32447.2,70000,3
llc,3516.2,33735.4,75000,3
llc,3526.5,34069.0,80000,3
membw,395.5,4928.4,5000,1
membw,467.0,9964.0,10000,1
membw,1789.6,14996.4,15000,1
membw,715.6,19929.8,20000,1
membw,680.2,24983.2,25000,1
membw,820.1,29983.2,30000,1
membw,1287.5,34891.4,35000,1
membw,1247.7,39977.6,40000,1
membw,1633.5,44922.0,45000,1
membw,2481.7,47008.0,50000,1
membw,2608.6,44776.2,55000,1
membw,2507.4,46718.0,60000,1
membw,2543.3,45726.8,65000,1
membw,2608.8,44975.4,70000,1
membw,2520.3,46002.2,75000,1
membw,2504.9,45572.8,80000,1
membw,394.0,4993.8,5000,2
membw,458.4,10034.0,10000,2
membw,542.2,14944.8,15000,2
membw,576.5,19988.8,20000,2
membw,612.1,25027.0,25000,2
membw,733.8,30130.2,30000,2
membw,1262.8,35024.7,35000,2
membw,1446.7,39896.2,40000,2
membw,1809.4,44934.4,45000,2
membw,2541.9,45136.0,50000,2
membw,2511.8,46976.6,55000,2
membw,2453.5,47541.6,60000,2
membw,2574.6,44697.8,65000,2
membw,2631.5,44536.8,70000,2
membw,2528.5,46444.2,75000,2
membw,2584.0,44927.0,80000,2
membw,398.0,5012.4,5000,3
membw,467.8,10093.4,10000,3
membw,519.5,15013.0,15000,3
membw,620.5,19981.6,20000,3
membw,629.0,24962.4,25000,3
membw,1095.7,30030.0,30000,3
membw,1329.2,35053.8,35000,3
membw,1775.2,40054.0,40000,3
membw,1881.6,44970.5,45000,3
membw,2614.2,44818.2,50000,3
membw,2485.8,47075.6,55000,3
membw,2502.5,46427.4,60000,3
membw,2530.1,46339.6,65000,3
membw,2562.0,44543.8,70000,3
membw,2681.9,43671.8,75000,3
membw,2505.6,46548.0,80000,3
