#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      288.0   130.4    93.8   164.7   182.2   267.5   309.2   334.4   353.3   376.4   410.1   469.7   605.4  1479.5  3892.2  29973.5    30000  1777060286315  1777060296445
read      274.5   108.1    93.8   160.7   176.4   256.9   295.9   319.3   337.9   360.3   390.2   441.3   563.7   918.4  3234.3  29949.7    30005  1777060297958  1777060308079
read      282.9   122.0    93.8   162.6   179.0   262.6   303.6   328.5   347.3   371.9   404.7   466.1   602.3  1177.3  3297.9  29982.5    30010  1777060309591  1777060319697
read      250.5   123.3   101.3   152.1   163.8   229.1   263.1   284.0   299.5   319.4   347.3   399.9   590.9  1586.8  4388.8  30079.0    30015  1777060321209  1777060331311
read      262.3   150.2    93.8   153.3   166.3   238.3   274.4   296.2   313.5   335.1   365.8   425.7   622.6  2205.3  5091.4  29990.6    30020  1777060332823  1777060342923
read      256.7   134.1   101.3   154.0   166.6   234.5   269.6   290.5   306.6   326.6   355.5   407.3   593.4  1959.7  4484.7  30028.0    30025  1777060344436  1777060354534
read      259.5   127.2    93.8   152.9   165.6   236.6   273.6   296.1   313.9   336.4   368.2   430.5   607.1  1438.2  4315.2  30017.3    30030  1777060356045  1777060366152
read      262.7   133.1    93.8   154.8   168.5   241.8   277.6   298.7   315.2   336.2   365.7   421.7   600.2  1815.0  4536.3  30024.2    30035  1777060367665  1777060377767
read      248.7   110.1   101.3   152.2   164.3   230.4   264.2   284.3   298.9   317.9   343.9   391.4   545.1  1396.5  3485.9  30075.2    30040  1777060379279  1777060389381
read      244.0   113.2    93.8   150.9   162.4   225.2   257.9   278.0   293.4   312.4   338.1   383.2   531.2  1507.5  3460.5  30169.6    30045  1777060390895  1777060400997
read      250.7   131.2   101.3   152.7   164.6   229.2   262.6   283.1   298.1   317.5   344.4   394.8   579.2  1937.2  4481.0  30096.4    30050  1777060402509  1777060412607
read      254.1   120.8    93.8   152.6   164.9   232.9   268.4   289.5   305.8   325.9   355.7   409.4   582.4  1481.0  4027.5  30048.7    30055  1777060414119  1777060424221
read      248.0   115.7   101.3   152.3   164.0   228.6   261.7   281.8   296.8   316.4   343.0   391.7   545.6  1685.8  3990.6  30028.8    30060  1777060425734  1777060435833
read      248.9   127.8    93.8   151.9   163.7   227.7   261.3   281.6   296.8   316.9   344.4   396.6   574.7  1715.2  4969.2  30048.9    30065  1777060437345  1777060447444
read      259.5    99.5    93.8   157.7   172.0   243.6   278.5   298.9   314.8   334.4   360.6   403.5   528.6  1091.6  3261.9  30079.9    30070  1777060448955  1777060459054
read      248.9    98.0    93.8   150.2   163.3   232.5   267.7   288.7   304.4   323.4   349.9   395.7   508.6   822.7  3171.6  30023.6    30075  1777060460564  1777060470667
read      257.8   118.9    93.8   149.4   162.8   238.5   277.5   300.8   318.2   340.6   370.4   422.1   539.5  1072.0  3967.6  30136.6    30080  1777060472179  1777060482280
read      265.9   104.7    93.8   155.6   170.1   246.9   286.2   309.7   327.5   349.8   381.8   436.6   559.3   906.4  2875.3  30060.0    30085  1777060483791  1777060493892
read      260.1   106.6    93.8   154.3   168.2   241.7   278.2   300.1   317.0   338.8   368.1   422.1   549.8  1029.2  2943.0  30121.8    30090  1777060495403  1777060505506
read      246.3   101.5   101.3   152.4   164.3   228.9   262.2   282.1   296.6   315.7   341.7   386.6   526.8  1198.0  3090.6  30140.1    30095  1777060507017  1777060517117
read      264.9   121.3    93.8   156.2   170.2   243.8   280.5   302.8   319.6   342.0   372.6   433.6   614.4  1270.1  4134.0  30124.7    30100  1777060518628  1777060528726
read      243.4    96.9   101.3   151.6   163.5   227.6   259.9   279.2   293.8   312.0   336.6   377.3   504.3  1031.7  3201.9  30152.3    30105  1777060530237  1777060540338
read      238.5    89.0   101.3   150.8   162.6   224.4   254.8   273.5   288.0   305.2   327.9   365.9   465.1   772.8  3028.5  30105.0    30110  1777060541851  1777060551956
read      254.5    98.6    93.8   154.1   167.7   237.8   272.8   293.7   309.9   329.6   356.9   402.4   524.3   850.4  3326.5  30081.1    30115  1777060553467  1777060563568
read      267.1   102.5    93.8   159.0   174.3   251.2   288.5   310.5   326.9   346.5   374.4   424.3   535.5   855.4  3468.4  30208.8    30120  1777060565079  1777060575181
read      266.1   106.4   101.3   162.7   177.2   250.9   286.6   307.6   322.7   342.5   369.3   415.0   524.1   744.0  3476.6  30164.2    30125  1777060576694  1777060586795
read      274.9   113.3    93.8   159.7   175.8   257.4   296.7   320.1   338.6   361.1   391.5   443.9   555.0   989.6  3600.0  30089.1    30130  1777060588306  1777060598406
read      275.5   111.8    93.8   162.2   178.2   258.4   296.9   319.7   338.0   360.1   390.2   441.6   550.5   872.8  4070.8  30043.0    30135  1777060599918  1777060610019
read      272.6   107.1    93.8   161.7   177.6   256.3   293.9   316.2   333.6   354.6   383.3   433.7   546.3   843.9  3687.6  30180.6    30140  1777060611531  1777060621632
read      264.6   104.9    93.8   160.6   174.7   248.3   284.6   305.9   321.1   341.9   369.5   418.5   534.8   786.7  3291.8  30154.0    30145  1777060623143  1777060633249
read      267.9   106.8    93.8   160.6   175.3   250.9   288.0   309.9   326.4   346.8   375.3   427.0   545.1   955.2  3718.4  30218.5    30150  1777060634764  1777060644862
read      280.1   129.1    93.8   163.1   179.0   259.6   299.3   323.0   342.0   365.6   397.6   457.1   592.8  1503.6  4132.2  30209.0    30155  1777060646374  1777060656479
read      275.8   114.1    93.8   162.7   178.3   257.5   295.9   319.2   337.9   360.7   391.5   446.0   566.2  1022.2  4042.3  30165.7    30160  1777060657990  1777060668093
read      279.3   117.1    93.8   163.4   179.7   260.8   299.7   323.1   342.0   365.2   396.8   453.4   577.0  1080.9  3544.9  30224.6    30165  1777060669605  1777060679706
read      276.0   111.0    93.8   160.6   176.3   257.3   296.7   320.5   339.8   363.4   395.2   452.3   574.5   926.8  3218.8  30174.3    30170  1777060681219  1777060691319
read      266.6   108.2    93.8   154.9   171.1   250.2   288.3   310.9   327.8   348.8   377.7   428.8   539.3   808.1  3860.3  30305.3    30175  1777060692832  1777060702933
read      264.8   104.6    93.8   156.4   172.1   248.4   284.7   306.4   322.3   343.7   372.3   424.1   538.6   955.4  3531.9  30115.0    30180  1777060704445  1777060714550
read      278.0   125.4    93.8   162.5   178.3   258.3   296.9   320.2   339.5   363.0   395.3   456.3   584.4  1175.0  4240.9  30243.6    30185  1777060716062  1777060726174
read      278.2   114.9    93.8   160.9   176.6   257.9   297.9   322.6   342.2   366.3   399.6   462.0   592.3  1025.6  3280.3  30255.5    30190  1777060727688  1777060737786
read      259.3   102.1    93.8   156.6   171.4   243.5   278.4   298.9   315.3   335.5   362.6   407.5   521.4   765.2  3164.6  30256.4    30195  1777060739298  1777060749399
read      265.2   104.8    93.8   156.6   172.5   248.8   285.7   307.8   324.1   345.1   373.5   424.0   532.2  1022.1  3373.9  30163.4    30200  1777060750910  1777060761015
read      263.6   118.0    93.8   155.3   171.0   248.0   284.7   306.2   321.8   342.4   369.3   415.1   525.9   856.9  4503.2  30194.2    30205  1777060762527  1777060772627
read      273.7   124.8    93.8   153.2   170.0   254.0   294.2   318.5   338.0   361.9   394.7   456.0   589.3  1098.0  4217.2  30212.0    30210  1777060774137  1777060784243
read      266.9   106.0    93.8   160.8   175.3   249.4   286.5   308.8   325.2   345.9   374.7   427.7   545.7   818.8  3210.0  30294.8    30215  1777060785754  1777060795854
read      278.7   129.1   101.3   165.7   180.9   259.2   297.6   320.7   339.2   362.0   393.4   448.6   571.0  1345.1  4627.7  30141.6    30220  1777060797366  1777060807468
read      283.4   117.5    93.8   162.3   178.9   263.4   304.3   329.3   348.0   372.1   405.4   469.6   606.9  1055.4  3465.4  30294.4    30225  1777060808980  1777060819081
read      270.8    98.8    93.8   161.5   176.2   254.1   291.9   314.5   331.9   353.2   382.4   433.5   549.9   812.6  2949.8  30161.9    30230  1777060820594  1777060830699
