1 core
run 1
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read     1014.6  1900.0    93.8   191.2   219.6   327.5   378.1   416.0   454.1   540.9  4195.8  6245.7  7924.0  9497.4 14657.9  67295.4    95000  1778195688330  1778195690533
read     1015.3  1912.5   101.3   188.6   216.2   329.9   376.6   409.5   440.7   505.8  4519.9  6284.5  7686.2  9466.1 10993.0  67264.2   105000  1778195692037  1778195694237
read      993.0  1888.7   101.3   188.2   216.7   321.6   366.7   398.0   428.0   493.9  4157.4  6243.1  7819.4 10049.9 11925.6  68872.9   115000  1778195695740  1778195697951
read      913.4  1795.6    86.8   184.6   207.3   289.3   332.2   365.5   396.7   457.3  3306.9  6127.6  7667.0  9457.1 11965.0  74877.0   125000  1778195699455  1778195701654
2 core
run 1
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      287.0   153.3   127.6   178.8   199.7   277.4   302.4   316.4   327.5   341.6   363.1   400.5   494.0  1798.9  7841.6   4935.0     5000  1778196272421  1778196274675
read      300.2    84.0   101.3   184.8   205.9   297.0   326.8   342.6   355.2   370.1   391.3   423.9   492.8   783.2  2999.6  14856.0    15000  1778196276180  1778196278422
read      306.5    87.6   109.4   177.4   195.5   304.8   341.9   361.9   374.9   393.7   416.4   450.2   517.7   637.0  2199.4  25012.5    25000  1778196279927  1778196282128
read      299.6    96.0    93.8   163.8   180.4   294.4   339.4   362.7   379.1   399.5   425.9   465.1   543.6   661.4  1496.8  35051.5    35000  1778196283632  1778196285833
read      302.8   133.1    93.8   155.6   171.3   290.6   343.9   371.3   392.4   416.8   447.1   493.9   592.6  1030.8  4316.3  44976.0    45000  1778196287338  1778196289538
read      300.3   134.2   101.3   152.4   167.2   281.6   341.1   373.0   398.2   427.4   462.7   514.9   619.8   769.7  4182.4  54898.0    55000  1778196291042  1778196293240
read      302.1   160.0    93.8   149.1   162.9   271.5   335.6   372.8   403.1   438.5   482.0   547.2   685.2  1453.7  4976.8  65020.5    65000  1778196294745  1778196296951
read      308.7   951.0    93.8   146.8   160.7   262.8   328.8   368.3   401.0   440.8   492.5   573.5   762.5  1647.1  7119.5  74862.3    75000  1778196298456  1778196300656
read      310.8   170.1    93.8   149.0   163.0   263.3   328.8   373.1   411.8   461.5   530.0   630.8   864.1  1469.0  2810.7  85168.0    85000  1778196302161  1778196304362
read      361.8   266.6    93.8   158.3   175.2   286.5   357.4   411.0   459.1   529.8   632.4   811.6  1403.4  2548.5  5977.0  95185.4    95000  1778196305868  1778196308070
read      598.2   820.8   101.3   203.5   231.2   382.4   452.9   495.9   531.0   579.8   679.2  3012.3  3737.6  7758.2  8724.5 104042.9   105000  1778196309575  1778196311775
read      587.7   770.3   101.3   207.7   237.6   379.3   444.2   489.1   529.2   589.2   748.6  2404.3  3705.1  7614.0  9137.3 110388.4   115000  1778196313280  1778196315479
read      594.9   832.8   101.3   209.7   238.3   384.1   450.0   489.5   520.9   563.9   640.9  3089.8  3760.1  7774.8  9926.8 110803.5   125000  1778196316984  1778196319185
run 2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      291.1   128.5   118.1   183.2   203.6   283.0   307.4   320.4   333.3   346.7   370.5   409.0   506.8  1409.4  6989.7   4895.5     5000  1778196407665  1778196409930
read      308.0   107.5   101.3   189.2   211.8   304.7   334.9   351.0   363.7   377.6   399.6   432.9   500.8   945.8  5990.8  14827.4    15000  1778196411435  1778196413677
read      311.0   106.7   109.4   176.5   195.4   308.5   346.0   366.2   380.5   398.2   421.6   455.9   533.7   957.4  3767.9  25038.0    25000  1778196415180  1778196417379
read      307.7   101.6   101.3   164.3   181.9   304.9   349.6   372.2   389.9   409.8   436.1   473.4   558.9   713.6  2070.0  34914.0    35000  1778196418883  1778196421083
read      308.1   120.4   101.3   159.7   175.9   295.2   351.0   380.0   401.0   427.0   458.5   504.0   596.3   834.3  2650.9  44641.0    45000  1778196422587  1778196424787
read      305.1   149.3    93.8   153.1   168.3   282.9   343.1   376.9   402.9   433.1   469.4   528.8   641.4   961.4  3997.7  54901.9    55000  1778196426292  1778196428491
read      302.1   143.5   101.3   150.8   164.9   274.5   336.8   372.8   402.5   437.6   481.8   546.6   676.9   864.6  4293.3  64583.7    65000  1778196429996  1778196432198
read      317.0   151.6    93.8   151.1   166.2   282.1   349.8   392.4   425.3   465.2   521.1   605.9   794.7  1089.7  1960.9  75192.0    75000  1778196433702  1778196435903
read      331.1   190.0   101.3   155.0   170.3   280.2   348.1   396.9   435.9   488.2   559.6   676.0   985.1  1592.7  4080.4  84457.9    85000  1778196437407  1778196439607
read      384.6   347.3    93.8   160.2   177.0   289.8   357.9   409.0   458.0   535.0   663.3   940.8  1899.0  3154.0  7822.0  94978.5    95000  1778196441111  1778196443314
read      425.6   485.2    93.8   165.6   184.2   294.7   357.6   402.2   446.1   523.6   697.7  1193.1  2747.5  4037.4  8097.3 105017.4   105000  1778196444818  1778196447016
read      556.0   793.3   101.3   190.9   217.3   350.8   413.9   453.4   484.8   528.5   608.7  2790.4  3682.3  7719.7  9804.3 111357.8   115000  1778196448520  1778196450720
read      610.1   854.1   101.3   207.0   238.0   380.1   448.3   498.3   542.3   604.0   710.8  3250.0  3849.4  7797.1  9421.5 107168.9   125000  1778196452224  1778196454423
run 3
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      286.3   104.0   118.1   183.6   204.2   279.6   303.5   317.5   328.9   342.3   364.8   404.0   484.9  1082.2  2565.5   5008.5     5000  1778196524773  1778196527041
read      299.7    92.8   109.4   186.0   207.6   297.1   325.7   341.3   353.0   367.2   386.3   417.1   490.5   902.9  2377.6  14951.0    15000  1778196528546  1778196530787
read      308.9   126.0   109.4   176.8   194.8   304.2   341.4   361.2   374.1   392.7   415.4   451.6   541.1  1682.4  4551.3  24685.5    25000  1778196532292  1778196534492
read      311.0   104.5   101.3   164.6   181.9   305.3   353.5   378.7   397.5   420.0   447.3   488.0   585.3   741.8  1366.2  34874.5    35000  1778196535997  1778196538196
read      304.0   111.3   101.3   158.2   173.9   293.2   346.8   375.1   396.9   421.9   451.7   496.0   590.2   746.7  1999.8  44900.5    45000  1778196539700  1778196541914
read      298.3   136.4   101.3   150.7   166.0   280.4   338.1   368.7   392.7   421.2   456.5   507.7   611.7   837.9  4063.6  55132.2    55000  1778196543419  1778196545619
read      298.6   147.5    93.8   149.3   163.4   269.9   332.3   368.9   398.5   433.5   476.4   541.2   653.4   953.6  3675.8  65060.3    65000  1778196547124  1778196549324
read      307.7   147.4    93.8   150.1   164.3   273.5   339.0   378.9   412.1   452.6   504.9   583.7   749.4  1012.3  2491.2  74818.0    75000  1778196550829  1778196553030
read      322.7   183.1    93.8   152.3   166.9   274.0   342.5   388.7   427.1   475.3   546.3   655.9   915.7  1572.8  2733.3  84724.0    85000  1778196554535  1778196556734
read      383.3   330.2   101.3   161.0   178.2   292.9   366.2   421.1   468.5   542.5   663.7   910.2  1722.4  3210.9  7749.4  94947.5    95000  1778196558239  1778196560438
read      543.2   739.6   101.3   184.7   210.0   343.8   414.9   461.3   499.5   553.8   680.9  2401.9  3617.4  7634.0  9282.8 104471.5   105000  1778196561943  1778196564145
read      566.0   802.5   101.3   199.5   226.3   359.2   423.6   463.3   495.5   538.5   616.1  3023.5  3702.2  7715.2  9513.1 112426.8   115000  1778196565650  1778196567851
read      601.2   835.0    93.8   210.6   242.4   376.1   445.0   496.6   540.6   598.6   692.7  3148.5  3768.8  7760.8  8503.3 109836.4   125000  1778196569355  1778196571557
3 core
run 1
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      291.3   198.2   127.6   181.3   202.8   279.6   302.7   316.0   326.4   340.3   360.6   398.2   505.5  2035.4  8138.6   5014.0     5000  1778196724770  1778196727039
read      299.2   100.9   118.1   186.8   207.1   296.7   324.5   339.5   350.1   364.8   383.1   412.5   478.9  1070.7  4063.3  15138.5    15000  1778196728544  1778196730779
read      305.2    95.5   109.4   179.5   198.7   305.1   339.4   357.6   369.7   385.2   403.2   434.4   498.1   600.4  3924.1  24889.8    25000  1778196732284  1778196734484
read      304.7    91.4   101.3   173.6   191.3   302.7   344.4   365.1   379.3   396.8   419.5   453.2   525.0   647.7  1702.8  35032.5    35000  1778196735989  1778196738191
read      299.2   101.6   101.3   162.7   179.3   292.7   342.1   366.1   382.7   401.3   426.6   463.3   546.3   725.5  2407.7  44947.1    45000  1778196739695  1778196741899
read      283.4   107.7   101.3   153.0   167.7   271.3   324.5   350.3   367.9   388.8   415.1   454.9   537.5   695.6  2773.4  54681.4    55000  1778196743405  1778196745607
read      279.9   104.5   101.3   149.9   164.1   263.8   320.2   347.8   367.6   390.6   419.3   461.5   545.6   684.5  1386.5  64977.7    65000  1778196747112  1778196749312
read      275.9   116.9    93.8   145.8   159.4   254.3   313.5   343.5   364.5   388.7   419.1   463.8   566.4   835.7  2713.6  75010.9    75000  1778196750816  1778196753015
read      271.4   109.8    93.8   145.1   158.6   249.3   305.8   335.9   356.5   380.8   412.9   460.7   569.0   799.2  1961.3  85033.7    85000  1778196754520  1778196756719
read      277.6   151.6    93.8   148.1   162.1   255.3   308.9   338.2   359.3   384.5   417.3   465.2   581.1  1016.9  5494.8  95434.9    95000  1778196758224  1778196760426
read      288.3   126.3    93.8   153.4   168.9   267.6   320.5   350.1   372.2   398.8   432.0   485.1   600.9   951.9  3130.4 104874.4   105000  1778196761930  1778196764131
read      302.5   119.7    93.8   162.8   179.6   282.5   334.9   365.1   387.9   415.1   450.1   503.6   623.7  1086.4  2479.8 114770.3   115000  1778196765636  1778196767835
read      365.8   192.0    93.8   166.2   186.2   318.8   396.4   445.6   484.7   535.8   610.1   735.3   983.1  1276.5  3689.0 123059.9   125000  1778196769340  1778196771538
run 2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      294.8   155.4   101.3   187.8   210.5   285.9   310.3   323.6   335.9   349.2   370.2   405.3   483.3  1929.6  6986.8   4921.0     5000  1778196836732  1778196838994
read      306.1    95.3   109.4   187.8   210.3   303.6   333.2   348.9   361.9   375.0   396.4   429.8   502.3   838.7  2199.3  15038.5    15000  1778196840498  1778196842735
read      305.7    90.4   109.4   177.2   196.3   303.0   338.7   357.9   371.1   389.1   411.8   450.1   534.6   674.3  2034.5  25153.5    25000  1778196844239  1778196846438
read      309.2   130.5    93.8   166.4   183.7   302.1   346.5   370.1   387.7   407.3   433.8   473.8   599.5  1211.0  3490.4  35052.5    35000  1778196847942  1778196850143
read      297.1   127.8   101.3   156.7   172.2   287.5   337.1   361.9   379.2   400.1   427.8   468.2   580.4  1559.8  3506.7  44654.5    45000  1778196851648  1778196853851
read      290.2   109.7    93.8   152.3   166.9   275.6   332.1   360.0   379.2   402.3   432.9   478.0   586.5   739.8  1680.8  55059.1    55000  1778196855355  1778196857553
read      286.8   147.3    93.8   148.6   162.6   267.4   325.8   354.3   374.0   398.8   430.5   476.8   600.5   905.8  7043.6  65301.0    65000  1778196859057  1778196861257
read      277.6   117.9    93.8   148.6   161.7   257.0   313.9   343.2   364.3   388.9   420.6   466.9   569.7   752.3  4158.6  75317.5    75000  1778196862763  1778196864961
read      284.9   122.1    93.8   149.7   163.4   260.4   319.7   351.4   373.9   401.2   435.3   490.4   626.3   919.2  2724.5  84957.9    85000  1778196866466  1778196868666
read      280.3   118.1   101.3   149.9   164.1   257.1   311.4   341.0   363.5   390.2   424.6   476.5   605.1  1118.0  2376.1  94907.5    95000  1778196870172  1778196872374
read      294.7   126.3    93.8   155.6   171.5   270.9   325.9   357.8   381.0   408.8   445.6   501.2   645.4  1191.0  2738.0 104677.9   105000  1778196873879  1778196876083
read      316.6   170.8    93.8   161.3   177.7   284.8   345.2   382.7   410.1   443.3   489.4   566.0   740.8  1318.5  4691.0 114808.9   115000  1778196877588  1778196879796
read      352.9   150.6    86.8   176.2   198.2   327.4   390.9   427.6   455.6   490.3   537.3   614.3   784.7  1331.0  2696.3 125068.9   125000  1778196881301  1778196883499
run 3
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      286.9   186.2   109.4   183.0   204.0   278.7   299.4   312.2   320.3   334.0   350.5   389.1   468.8  2378.4  9498.8   4965.5     5000  1778196989989  1778196992249
read      298.3    78.1   118.1   189.2   210.0   295.3   323.0   339.0   349.9   364.4   382.5   413.9   482.9   677.0  1882.0  15140.5    15000  1778196993754  1778196995999
read      308.1   140.9   109.4   177.9   196.9   304.4   339.8   359.3   372.4   390.1   411.3   446.3   524.0   822.3  5684.6  25084.0    25000  1778196997503  1778196999706
read      295.1    99.7   101.3   167.0   183.6   293.9   334.3   353.9   367.5   383.8   403.1   435.3   498.5   627.4  3364.0  34705.0    35000  1778197001211  1778197003410
read      288.9   106.2    93.8   158.1   173.7   281.7   329.9   353.0   368.6   387.8   411.8   449.5   528.5   737.7  2872.5  44831.8    45000  1778197004915  1778197007114
read      283.6   107.1    93.8   151.7   166.1   272.2   327.1   352.8   369.9   390.4   415.7   453.7   535.3   672.2  2503.0  54955.9    55000  1778197008619  1778197010819
read      277.3   135.0    86.8   147.9   161.6   259.4   315.3   343.1   361.9   383.1   409.9   451.6   541.0  1339.0  5268.2  64828.9    65000  1778197012323  1778197014522
read      278.9   108.1   101.3   149.2   162.8   258.2   316.8   346.7   367.8   392.9   424.7   469.4   570.4   708.7  1748.1  74801.4    75000  1778197016027  1778197018230
read      274.6   134.2    93.8   147.5   160.8   252.1   308.5   338.8   359.8   384.4   415.7   461.3   555.5   904.4  3774.1  84792.0    85000  1778197019734  1778197021935
read      281.7   113.9    93.8   151.3   165.6   259.9   315.6   345.6   367.5   393.6   426.8   475.3   585.0   806.2  1887.9  94681.9    95000  1778197023439  1778197025639
read      278.8   118.9    93.8   150.4   164.5   255.9   309.1   339.1   361.2   387.6   421.8   471.9   589.4   939.7  3233.6 104694.1   105000  1778197027144  1778197029345
read      292.9   124.4    93.8   158.9   174.9   271.1   322.1   351.9   374.1   401.4   435.7   491.2   617.4  1168.3  3027.0 114980.4   115000  1778197030850  1778197033050
read      306.6   128.4    93.8   164.6   182.6   285.7   337.6   368.5   392.0   419.8   455.6   510.0   637.3   941.9  2947.2 124789.4   125000  1778197034555  1778197036757
