1 core
run 1
1778195074521,0.0
1778195075627,1.0
1778195076734,1.0
1778195077841,1.0
1778195078947,9.8
1778195080054,20.6
1778195081161,5.9
1778195082267,5.9
1778195083374,45.3
1778195084482,34.7
1778195085589,1.0
1778195086696,54.7
1778195087803,62.3
1778195088910,0.0
1778195090017,36.8
1778195091125,68.8
1778195092234,29.2
1778195093341,6.9
1778195094449,78.0
1778195095557,61.2
1778195096665,0.0
1778195097772,69.9
1778195098880,85.5
1778195099989,1.0
1778195101097,38.2
1778195102206,93.5
1778195103315,39.2
1778195104423,2.0
1778195105532,100.0
1778195106641,78.2
1778195107750,0.0
1778195108857,74.0
1778195109965,100.0
1778195111077,4.0
1778195112184,36.6
1778195113294,100.0
1778195114404,42.4
1778195115512,1.0
1778195116621,100.0
1778195117732,81.2
1778195118840,2.0
1778195119946,69.4
1778195121056,100.0
1778195122165,9.0
1778195123274,32.3
1778195124382,100.0
1778195125492,47.0
1778195126599,0.0
1778195127706,0.0
1778195128813,0.0
1778195129919,0.0
1778195131026,1.0
1778195132133,0.0
run 2
1778195441450,0.0
1778195442557,1.0
1778195443663,0.0
1778195444770,0.0
1778195445877,0.0
1778195446984,18.3
1778195448090,24.8
1778195449198,1.0
1778195450304,17.4
1778195451412,43.2
1778195452519,22.0
1778195453626,1.0
1778195454733,58.9
1778195455840,54.4
1778195456948,0.0
1778195458054,51.6
1778195459162,69.8
1778195460271,12.4
1778195461378,26.8
1778195462486,77.3
1778195463595,44.7
1778195464703,0.0
1778195465810,87.0
1778195466919,78.1
1778195468026,1.0
1778195469133,61.8
1778195470241,96.2
1778195471351,15.2
1778195472459,25.0
1778195473568,100.0
1778195474679,54.0
1778195475787,0.0
1778195476893,98.0
1778195478002,92.0
1778195479110,1.0
1778195480217,59.4
1778195481326,100.0
1778195482437,20.0
1778195483546,20.2
1778195484655,100.0
1778195485766,58.6
1778195486874,0.0
1778195487980,93.1
1778195489089,97.0
1778195490196,0.0
1778195491303,55.0
1778195492412,100.0
1778195493523,24.0
1778195494632,1.0
1778195495739,1.0
run 3
1778195650133,1.0
1778195651240,0.0
1778195652347,1.0
1778195653454,0.0
1778195654560,10.7
1778195655668,20.4
1778195656775,8.7
1778195657882,1.0
1778195658989,41.0
1778195660097,34.8
1778195661204,0.0
1778195662311,48.5
1778195663418,59.6
1778195664526,3.9
1778195665633,31.3
1778195666741,67.6
1778195667851,34.2
1778195668958,0.0
1778195670066,75.6
1778195671175,63.4
1778195672282,0.0
1778195673388,65.2
1778195674496,85.5
1778195675606,7.0
1778195676714,33.7
1778195677824,94.4
1778195678934,43.3
1778195680042,1.0
1778195681150,100.0
1778195682260,82.2
1778195683368,0.0
1778195684475,70.0
1778195685585,100.0
1778195686696,9.0
1778195687804,31.7
1778195688913,100.0
1778195690022,48.5
1778195691130,0.0
1778195692237,100.0
1778195693347,85.9
1778195694455,0.0
1778195695562,66.7
1778195696671,100.0
1778195697781,13.9
1778195698889,28.0
1778195699998,100.0
1778195701110,51.5
1778195702219,0.0
1778195703326,0.0
2 core
run 1
1778196268240,0.0
1778196269346,1.0
1778196270453,1.0
1778196271560,1.0
1778196272667,29.6
1778196273773,23.3
1778196274880,2.0
1778196275987,25.9
1778196277094,35.7
1778196278202,4.1
1778196279308,13.1
1778196280416,62.5
1778196281524,37.1
1778196282631,0.0
1778196283738,86.2
1778196284845,85.7
1778196285953,0.0
