Memcached with T =1 thread, C=1 core
run 1
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      917.2   404.6   173.5   653.3   692.1   805.3   857.5   895.9   934.9  1308.7  1474.6  1585.9  1740.8  7230.8  8336.1  71975.1    85000  1778109968820  1778109971019
read      939.4   402.9   148.8   680.7   710.6   825.3   869.2   911.4   941.4  1360.2  1530.5  1632.0  1780.1  7218.8  8068.5  70245.4    95000  1778109972522  1778109974722
read      854.7   367.8   173.5   608.1   642.9   749.7   796.9   834.3   868.9  1240.6  1389.0  1488.4  1616.2  7109.5  8530.4  76975.5   105000  1778109976226  1778109978425
read      861.9   375.6    93.8   606.0   639.0   747.6   798.6   843.1   903.3  1295.8  1399.0  1487.3  1622.9  7094.5  8096.5  76310.4   115000  1778109979930  1778109982134
read      893.6   381.6   137.8   650.9   683.0   784.5   829.2   859.9   898.4  1293.1  1457.0  1561.6  1707.8  7133.7  9181.1  73878.8   125000  1778109983637  1778109985837

Memcached with T =1 thread, C=2 cores
run 1
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      238.9   116.9   101.3   160.6   171.5   226.4   249.9   263.7   273.3   287.7   306.6   336.8   422.1  1949.3  5987.3   4950.0     5000  1778110079298  1778110081553
read      273.7   107.8    93.8   156.2   174.9   265.1   303.0   323.5   338.8   355.9   375.2   404.8   469.9   867.7  3676.1  15045.0    15000  1778110083057  1778110085296
read      303.6   107.8    86.8   151.9   170.4   299.4   351.1   376.8   394.6   414.8   438.9   474.9   549.5   663.8  2761.6  25231.5    25000  1778110086799  1778110088999
read      306.0   128.0    86.8   146.7   164.8   294.7   358.8   389.6   410.3   433.0   461.0   501.1   581.2   726.6  2994.3  34967.5    35000  1778110090503  1778110092701
read      311.2   152.8    74.4   139.4   157.7   293.6   367.5   403.3   427.7   454.5   486.9   533.8   623.5   769.2  3741.3  45513.0    45000  1778110094205  1778110096405
read      316.8   135.6    74.4   140.6   159.5   295.7   373.0   411.7   437.2   467.1   503.0   553.5   650.7   807.5  1885.7  55008.0    55000  1778110097909  1778110100110
read      336.4   151.4    74.4   146.9   169.2   317.3   389.9   430.3   458.6   490.4   529.0   585.2   698.8   872.4  3998.4  64851.5    65000  1778110101614  1778110103813
read      930.4   403.4   101.3   649.6   702.7   833.8   879.9   918.4   942.5  1202.6  1518.8  1646.7  1816.6  7143.6  9029.4  69600.8    75000  1778110105317  1778110107518
read      859.8   387.0   173.5   603.4   640.5   754.7   804.2   846.9   887.3  1238.9  1387.5  1491.5  1664.5  7074.7 10607.2  76364.5    85000  1778110109021  1778110111223
read      892.0   385.0   109.4   634.8   664.5   783.0   835.0   867.0   919.5  1301.3  1446.2  1555.7  1713.2  7116.9  9599.5  73840.0    95000  1778110112727  1778110114926
read      898.6   383.8   202.4   650.7   683.5   788.5   835.7   863.7   905.9  1306.1  1461.2  1568.2  1716.3  7124.4  9441.0  73358.0   105000  1778110116430  1778110118627
read      830.9   368.5   160.7   583.0   612.3   725.7   777.3   809.2   866.8  1212.6  1338.5  1447.2  1600.8  7057.0  8928.0  79232.0   115000  1778110120131  1778110122336
read      883.5   376.4   148.8   645.9   671.1   776.3   818.6   853.6   883.2  1286.2  1437.7  1545.0  1696.1  7130.1  8070.7  74658.0   125000  1778110123840  1778110126042
run 2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      236.9   109.3   109.4   162.7   174.7   226.0   247.7   260.6   270.3   283.3   301.6   334.2   403.8  1094.7  6469.4   4920.0     5000  1778110155068  1778110157322
read      271.9    87.5    86.8   156.9   176.4   265.1   301.0   320.4   335.9   353.0   373.5   403.1   461.8   633.1  2882.5  14973.0    15000  1778110158826  1778110161063
read      301.2   106.7    80.4   150.6   169.4   296.8   348.3   374.1   391.5   410.3   433.2   467.9   543.4   645.7  2882.4  24917.0    25000  1778110162567  1778110164766
read      302.0   115.7    80.4   145.7   163.3   290.5   354.9   385.4   404.7   428.0   455.8   495.4   573.2   685.5  1577.0  34994.0    35000  1778110166270  1778110168472
read      305.8   124.7    74.4   140.2   158.0   287.8   361.2   395.9   419.6   445.9   476.3   522.3   611.6   748.9  1665.3  45041.6    45000  1778110169976  1778110172177
read      317.5   139.3    74.4   141.1   160.4   295.3   371.9   411.5   438.2   468.3   503.9   556.3   659.7   831.4  3072.1  55058.2    55000  1778110173681  1778110175878
