threads,cores,p95,qps,target,run
2,1,2847.0,74288.5,75000,3
2,1,3604.3,71669.8,85000,3
2,1,3632.8,69250.2,95000,3
2,1,3579.9,76571.4,105000,3
2,1,3576.5,75967.5,115000,3
2,1,3553.3,79117.0,125000,3
2,2,336.4,4853.0,5000,1
2,2,386.4,15140.0,15000,1
2,2,397.5,25052.0,25000,1
2,2,448.3,35007.5,35000,1
2,2,451.4,45194.0,45000,1
2,2,467.5,55155.4,55000,1
2,2,473.8,64898.5,65000,1
2,2,477.4,74923.5,75000,1
2,2,492.0,84786.8,85000,1
2,2,497.5,95154.4,95000,1
2,2,586.4,105041.1,105000,1
2,2,907.4,112829.9,115000,1
2,2,920.9,116627.9,125000,1
2,2,314.3,5008.5,5000,2
2,2,378.0,14829.5,15000,2
2,2,423.1,25020.5,25000,2
2,2,436.3,35106.5,35000,2
2,2,459.1,45282.5,45000,2
2,2,467.6,54990.6,55000,2
2,2,475.8,65157.5,65000,2
2,2,478.6,74988.5,75000,2
2,2,497.4,85105.5,85000,2
2,2,501.7,95162.7,95000,2
2,2,723.6,104764.4,105000,2
2,2,884.3,112878.9,115000,2
2,2,973.6,113950.9,125000,2
2,2,314.7,4883.5,5000,3
2,2,378.6,14908.0,15000,3
2,2,405.5,24973.5,25000,3
2,2,446.1,35108.5,35000,3
2,2,449.8,45236.0,45000,3
2,2,459.8,54917.5,55000,3
2,2,473.3,65061.5,65000,3
2,2,487.4,75220.5,75000,3
2,2,467.7,85297.0,85000,3
2,2,499.3,94949.9,95000,3
2,2,519.0,104675.2,105000,3
2,2,795.0,113494.1,115000,3
2,2,878.4,118975.6,125000,3
2,3,325.8,4923.0,5000,1
2,3,380.8,14922.5,15000,1
2,3,431.8,25259.0,25000,1
2,3,445.4,35058.5,35000,1
2,3,450.9,44767.5,45000,1
2,3,466.3,54911.0,55000,1
2,3,473.9,64668.5,65000,1
2,3,472.7,75073.5,75000,1
2,3,486.3,84724.0,85000,1
2,3,533.3,95277.1,95000,1
2,3,548.2,104887.4,105000,1
2,3,948.2,110367.0,115000,1
2,3,990.4,111895.4,125000,1
2,3,331.5,5038.9,5000,2
2,3,370.3,14999.5,15000,2
2,3,422.8,25015.0,25000,2
2,3,442.6,34834.5,35000,2
2,3,458.7,44845.5,45000,2
2,3,469.0,55008.7,55000,2
2,3,470.7,65037.0,65000,2
2,3,479.0,75001.2,75000,2
2,3,479.0,84811.5,85000,2
2,3,499.4,94891.7,95000,2
2,3,515.7,104621.9,105000,2
2,3,704.2,115075.9,115000,2
