#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      270.2   158.2    93.8   153.1   166.4   244.5   285.3   310.3   329.6   354.3   389.8   454.4   635.7  2043.8  6174.8  29966.5    30000  1778225237424  1778225247646
read      270.8   127.9    93.8   157.7   171.4   248.8   288.7   313.1   332.1   355.9   388.7   446.3   603.3  1483.6  3889.6  30017.2    30005  1778225249162  1778225259293
read      270.2   141.9   101.3   156.9   170.4   247.2   287.1   311.3   329.8   352.7   384.5   437.1   604.4  2051.4  4399.5  29949.7    30010  1778225260808  1778225270914
read      257.6   132.2    93.8   153.9   166.0   235.0   272.4   294.8   312.7   334.6   364.7   415.7   571.1  1857.2  4153.7  29991.4    30015  1778225272429  1778225282537
read      263.4   135.6   101.3   154.8   167.8   241.4   279.5   302.7   319.8   342.3   372.1   423.9   582.6  1973.7  4186.6  30058.2    30020  1778225284053  1778225294155
read      274.4   148.9   101.3   156.3   169.7   247.2   288.5   314.0   334.2   359.7   395.6   462.7   679.5  2056.5  4664.8  29958.5    30025  1778225295670  1778225305781
read      271.0   145.0    93.8   157.9   170.8   246.1   286.5   311.3   330.7   355.1   388.6   445.4   623.0  2018.6  4610.8  30179.4    30030  1778225307295  1778225317397
read      276.2   165.3    93.8   158.6   172.1   248.8   289.7   315.0   334.9   360.0   394.3   456.8   656.2  2455.7  5830.7  30055.2    30035  1778225318912  1778225329013
read      269.9   139.0   101.3   159.3   172.3   246.5   285.4   309.2   327.7   350.9   383.6   438.4   612.6  1915.1  4893.0  29969.7    30040  1778225330529  1778225340628
read      258.2   144.3   101.3   154.4   166.4   234.6   271.0   293.3   311.0   333.0   363.8   417.4   574.6  2204.5  5080.5  30021.6    30045  1778225342142  1778225352243
read      270.5   142.0    93.8   156.3   169.6   245.5   285.8   310.9   330.2   354.2   386.8   442.2   633.5  1997.0  4020.6  30028.5    30050  1778225353757  1778225363861
read      268.2   127.9   101.3   153.2   167.6   248.2   289.6   314.4   333.6   356.8   387.7   436.0   556.1  1409.0  4371.8  30018.3    30055  1778225365377  1778225375482
read      270.5   117.9    93.8   151.7   165.3   247.3   292.7   320.7   342.7   369.1   403.1   459.7   589.9   897.6  3489.0  30048.5    30060  1778225376997  1778225387096
read      264.6   120.3    93.8   148.9   161.7   241.4   286.6   314.2   335.6   361.6   395.5   449.3   569.0   928.7  3826.6  30062.4    30065  1778225388612  1778225398712
read      285.8   143.1    93.8   156.8   172.0   258.7   305.9   335.2   357.9   386.3   425.1   490.6   661.9  1709.7  4311.1  30064.4    30070  1778225400228  1778225410331
read      280.1   117.3    93.8   163.0   178.5   262.0   302.9   327.6   345.8   369.0   399.1   449.9   580.9   961.5  3489.0  30061.7    30075  1778225411847  1778225421949
read      254.4   126.0   101.3   154.3   167.0   236.1   272.0   293.6   310.2   330.2   357.1   399.1   510.0  1214.4  4219.0  30117.7    30080  1778225423465  1778225433569
read      257.4   104.5   101.3   155.3   168.5   240.4   276.8   298.7   315.4   335.6   362.7   404.7   521.7   820.9  3715.4  30126.2    30085  1778225435083  1778225445185
read      261.4   101.2   101.3   159.3   172.3   244.5   281.5   303.8   320.0   340.5   367.4   411.4   535.0   789.7  3088.4  30010.1    30090  1778225446699  1778225456799
read      255.9    99.7   109.4   158.8   171.1   239.6   274.3   295.3   311.3   330.2   355.7   397.0   514.1   938.2  3229.2  30136.8    30095  1778225458313  1778225468414
read      259.1   108.1   101.3   159.5   172.7   243.6   278.6   299.3   315.3   334.7   360.3   400.4   507.8   761.8  4045.6  30122.5    30100  1778225469930  1778225480032
read      283.5   114.3    93.8   165.1   180.7   266.8   308.9   333.2   350.8   372.3   400.6   448.1   574.2   954.0  3545.5  30038.9    30105  1778225481546  1778225491645
read      281.6   119.0    93.8   166.9   182.2   267.0   307.8   330.5   346.3   367.1   393.9   434.9   535.9  1004.8  4308.6  30080.0    30110  1778225493161  1778225503261
read      279.2   110.3   101.3   163.9   179.2   263.1   303.9   326.8   343.6   364.9   393.1   439.0   561.5  1151.0  3231.6  30047.7    30115  1778225504775  1778225514878
