#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      246.0   103.8    80.4   142.5   157.4   230.0   265.5   286.6   302.6   322.1   348.8   393.9   501.7  1040.8  3858.1  29955.1    30000  1778431591946  1778431602097
read      244.9   118.3    86.8   142.5   156.5   226.7   260.6   281.0   296.7   317.1   345.2   397.2   547.0  1190.2  4094.0  30037.9    30005  1778431603609  1778431613741
read      249.2   104.2    86.8   145.3   160.8   233.0   267.6   288.5   304.6   324.3   352.3   400.6   522.5   898.4  3902.5  30121.4    30010  1778431615253  1778431625356
read      235.4    95.9    80.4   139.4   152.8   221.9   254.4   273.5   288.6   306.9   331.5   371.4   465.9   718.0  3899.0  30006.3    30015  1778431626868  1778431636968
read      233.8    89.7    86.8   137.6   150.8   219.8   252.1   271.3   286.6   305.3   331.0   373.1   486.3   706.3  2741.5  30019.5    30020  1778431638480  1778431648581
read      236.3   101.7    86.8   138.6   152.3   221.8   254.6   274.1   289.7   308.6   334.0   375.2   483.3   832.0  3289.3  30013.0    30025  1778431650092  1778431660194
read      245.1   121.2    80.4   139.0   152.3   226.5   263.8   286.0   302.9   323.8   353.5   402.0   529.7  1115.3  4181.2  29971.6    30030  1778431661707  1778431671807
read      235.1   100.0    86.8   136.0   148.6   217.9   253.8   275.4   292.4   312.8   340.3   386.6   492.9   816.5  3561.4  29965.2    30035  1778431673320  1778431683420
read      233.1    89.0    86.8   139.7   152.0   218.6   251.1   270.7   285.7   303.8   329.0   371.2   472.3   795.5  2530.9  30102.2    30040  1778431684934  1778431695037
read      237.1    96.9    80.4   139.8   153.4   222.7   255.5   275.0   290.6   309.6   335.6   378.5   482.2   819.2  3355.2  30145.8    30045  1778431696548  1778431706649
read      232.2   106.1    80.4   132.6   145.6   216.1   250.5   270.9   286.9   306.6   333.5   377.8   493.0  1072.9  3286.8  30154.9    30050  1778431708160  1778431718263
read      234.3   133.8    86.8   136.3   147.2   214.2   248.4   268.7   284.2   303.1   329.6   376.6   548.0  1955.0  4528.1  30026.3    30055  1778431719775  1778431729877
read      237.8   132.3    86.8   138.1   149.5   218.0   252.1   272.2   287.8   307.0   333.6   383.2   556.6  1845.8  4779.6  30038.3    30060  1778431731390  1778431741492
read      232.2   132.6    93.8   136.6   147.8   212.3   244.6   264.1   278.4   296.4   321.0   369.0   561.7  1655.5  4905.8  30113.9    30065  1778431743004  1778431753104
read      219.3    99.6    80.4   132.4   142.6   202.2   233.9   253.5   268.5   286.6   310.7   350.9   460.5  1142.6  3192.4  30159.3    30070  1778431754617  1778431764723
read      233.2    95.3    86.8   140.6   153.6   220.0   250.8   269.2   283.1   299.7   322.3   363.2   467.8   898.6  2840.8  30111.3    30075  1778431766236  1778431776337
read      516.7   787.8    74.4   142.6   158.4   266.3   352.0   421.9   487.7   615.6   947.1  2290.6  4149.5  6343.3  7602.1  30144.8    30080  1778431777849  1778431787952
read      454.6   672.9    80.4   135.4   149.2   240.1   305.1   364.0   436.9   602.7   908.4  1896.3  3465.2  6288.2  7795.2  30120.0    30085  1778431789464  1778431799565
read      463.4   697.3    80.4   136.7   150.0   240.3   305.5   366.0   441.7   616.1   931.0  1997.7  3582.8  6324.6  9444.8  30038.9    30090  1778431801077  1778431811180
read      538.8   809.1    80.4   144.3   161.3   276.2   361.0   433.5   507.8   664.1  1032.9  2357.5  4166.4  6345.6  7781.6  30082.9    30095  1778431812692  1778431822796
read      427.4   630.4    80.4   131.7   143.9   226.5   285.3   339.6   416.7   597.6   876.7  1479.5  3266.9  6256.3  7322.8  30091.0    30100  1778431824307  1778431834406
read      635.4   957.9    86.8   155.9   177.3   317.8   417.1   493.2   562.2   700.6  1257.5  3200.8  4500.2  6408.7  8073.3  30112.6    30105  1778431835917  1778431846027
read      497.6   750.9    80.4   139.1   154.2   257.5   335.8   403.5   484.4   639.0   958.1  2155.0  3979.2  6352.4  9044.6  30107.0    30110  1778431847537  1778431857638
read      291.3   943.1    86.8   140.4   154.2   226.6   261.6   283.1   299.6   320.8   352.9   411.2   578.4 18880.8 26122.1  30035.6    30115  1778431859151  1778431869258
read      241.2   229.6    86.8   132.2   143.0   208.2   242.6   263.7   279.4   299.5   329.2   387.8   778.1  4017.0  6257.7  30101.9    30120  1778431870769  1778431880871
read      237.8   130.5    80.4   132.8   145.0   217.2   253.9   276.0   293.2   314.5   344.1   396.5   536.0  1778.5  4479.3  30068.4    30125  1778431882384  1778431892491
read      233.7    96.9    80.4   135.5   149.3   219.6   252.8   272.5   287.7   306.2   331.3   372.6   471.9   854.6  3134.2  30091.9    30130  1778431894004  1778431904103
read      230.5    91.7    80.4   134.0   146.9   216.3   249.6   269.4   284.7   303.6   329.6   372.0   470.7   671.4  2889.9  30174.0    30135  1778431905614  1778431915714
read      233.1   102.1    80.4   140.1   152.6   218.8   250.9   269.9   284.4   301.8   326.3   368.1   466.3   942.1  3488.9  30048.7    30140  1778431917226  1778431927326
read      240.6    99.0    86.8   141.9   156.1   225.5   258.4   278.0   293.5   312.9   339.2   383.5   494.2   913.9  3344.7  30214.0    30145  1778431928838  1778431938938
read      236.2    94.5    86.8   139.1   153.1   222.5   254.5   273.9   289.2   307.8   333.3   374.5   479.3   719.3  3205.5  30114.5    30150  1778431940450  1778431950550
read      239.2    93.8    86.8   141.7   154.9   224.5   258.3   278.2   293.8   313.1   339.1   382.2   483.2   824.3  2540.0  30223.8    30155  1778431952061  1778431962161
