#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      265.1   156.3    93.8   157.6   170.2   242.3   279.9   302.0   318.6   339.8   368.1   418.3   586.8  2353.6  6062.4  29993.1    30000  1778238758049  1778238768200
read      269.9   144.4   101.3   159.5   173.0   249.0   286.5   308.6   325.1   345.4   373.4   425.6   593.0  2118.2  4497.8  30001.8    30005  1778238769720  1778238779849
read      266.8   154.1    93.8   154.5   167.8   243.8   282.5   305.5   322.4   344.4   373.8   429.8   613.5  2196.7  5184.3  30057.5    30010  1778238781366  1778238791467
read      271.1   160.0    93.8   155.0   168.5   247.1   286.6   310.2   328.0   350.3   383.5   442.2   636.0  2287.5  5463.5  29959.9    30015  1778238792981  1778238803097
read      275.9   211.4   101.3   155.9   169.7   249.1   288.5   311.7   329.3   351.5   383.6   442.2   667.8  2960.6  7687.0  30000.0    30020  1778238804615  1778238814732
read      272.0   167.7   101.3   157.1   170.4   246.8   286.5   310.0   327.5   348.7   380.1   436.5   641.3  2529.3  5833.2  30053.3    30025  1778238816254  1778238826380
read      266.6   157.9   101.3   156.4   169.4   242.7   280.3   303.0   319.8   341.7   371.0   427.3   610.0  2467.1  5163.6  29988.7    30030  1778238827902  1778238838027
read      264.4   152.6   101.3   153.9   166.2   238.6   278.1   302.2   320.0   343.3   375.2   433.8   627.4  2208.2  5099.7  30003.0    30035  1778238839547  1778238849658
read      279.3   161.3   101.3   161.2   174.6   254.1   294.8   319.1   338.2   361.9   394.9   457.7   652.6  2498.1  5353.8  29974.0    30040  1778238851177  1778238861283
read      268.8   167.9   101.3   152.9   166.5   243.6   282.7   305.9   322.9   344.9   374.9   433.3   656.5  2354.3  6110.4  30121.7    30045  1778238862798  1778238872909
read      265.8   144.5    93.8   155.6   168.9   244.0   282.0   304.6   321.0   342.8   371.9   425.3   591.6  1986.7  4873.2  30060.2    30050  1778238874426  1778238884545
read      276.3   154.4    93.8   157.2   171.1   252.1   293.6   318.3   337.6   361.3   393.9   451.2   625.5  2305.4  5078.4  29998.8    30055  1778238886065  1778238896169
read      551.1 11452.9    93.8   161.8   178.2   272.6   323.0   354.6   379.1   410.5   457.1   544.6   921.0  6115.8 618756.1  30015.7    30060  1778238897683  1778238907786
read      260.9   110.9    93.8   150.1   163.1   240.1   282.3   307.5   325.8   348.7   380.3   432.5   566.7   931.3  4007.4  30065.0    30065  1778238909302  1778238919405
read      264.8   110.2   101.3   158.3   172.0   247.7   285.7   307.9   324.4   345.1   373.2   421.4   540.8   934.7  4155.9  30014.0    30070  1778238920921  1778238931024
read      263.7   124.8   101.3   154.4   168.1   244.0   284.3   308.0   325.5   346.8   376.3   426.4   545.2  1327.4  4220.0  30076.3    30075  1778238932540  1778238942642
read      264.5   105.6   101.3   155.7   169.7   247.0   286.2   309.4   326.8   347.9   377.8   427.0   541.1   886.8  3150.3  30050.6    30080  1778238944157  1778238954262
read      256.0   101.7    86.8   153.6   166.7   238.2   275.2   297.1   314.3   335.2   363.2   408.9   532.8   836.7  3231.5  30061.2    30085  1778238955777  1778238965883
read      254.9   112.1   101.3   154.8   167.6   237.7   273.8   294.8   310.9   330.1   356.0   398.5   517.8  1066.3  4184.5  30065.5    30090  1778238967396  1778238977499
read      264.6   126.5   101.3   155.9   170.1   247.6   284.7   306.3   321.7   342.4   369.2   414.6   549.1  1430.8  5030.8  30034.1    30095  1778238979015  1778238989121
read      254.8   108.7   101.3   155.9   168.8   238.9   273.9   294.5   310.3   328.9   353.7   395.0   504.7   950.7  4233.8  30079.5    30100  1778238990637  1778239000748
read      254.9   102.6   101.3   157.2   170.0   239.3   274.5   295.1   311.0   329.8   355.0   395.2   496.3   756.3  3767.8  30056.4    30105  1778239002264  1778239012366
read      254.0   107.0   101.3   157.2   169.7   238.5   273.1   293.4   309.0   327.3   351.7   392.1   493.5   816.3  3968.2  30142.4    30110  1778239013881  1778239023988
read      265.7   110.6    93.8   161.9   175.4   249.9   286.5   308.0   323.5   343.3   369.1   410.9   530.5   968.0  4257.2  30044.3    30115  1778239025507  1778239035615
read      268.7   114.1    93.8   156.3   170.7   250.5   291.7   315.9   334.7   357.2   386.8   433.3   542.0   853.8  4045.0  30148.6    30120  1778239037130  1778239047238
read      274.2   113.9   101.3   165.1   179.6   257.8   296.4   319.3   337.0   358.0   385.7   429.8   534.7   921.3  3983.8  30164.9    30125  1778239048752  1778239058858
read      269.3   106.0    93.8   160.3   174.7   253.5   292.7   316.1   333.8   354.7   382.4   426.3   521.9   731.5  4016.6  30093.7    30130  1778239060373  1778239070474
