#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      257.8   139.5   101.3   155.2   167.3   235.9   273.0   294.2   310.7   330.7   358.4   403.9   563.3  2007.4  4329.2  29973.1    30000  1778240427833  1778240437991
read      250.9   145.9   101.3   152.7   164.5   229.3   264.7   285.9   301.7   320.5   346.7   393.2   536.9  2203.0  5076.2  30034.5    30005  1778240439507  1778240449638
read      258.7   149.7   101.3   155.2   167.7   236.0   272.5   294.2   311.1   331.6   359.7   405.6   565.4  2174.7  5480.8  29999.3    30010  1778240451150  1778240461252
read      256.0   135.1   101.3   152.1   164.5   233.9   271.1   293.1   309.9   330.4   359.0   407.0   571.5  1949.7  4298.8  30145.1    30015  1778240462768  1778240472876
read      265.8   137.5   101.3   156.5   169.9   243.8   281.6   303.9   320.3   342.2   371.4   424.9   595.1  2058.1  4374.3  30062.9    30020  1778240474391  1778240484495
read      251.9   144.4   101.3   151.0   162.9   229.5   265.9   287.5   303.8   323.7   352.3   400.8   547.7  2168.9  5022.0  30020.2    30025  1778240486009  1778240496112
read      258.5   143.4    93.8   155.7   168.3   237.1   273.7   295.4   312.1   332.2   360.0   406.6   552.5  2046.8  4651.8  30041.6    30030  1778240497627  1778240507727
read      261.0   147.7    93.8   154.9   167.7   238.6   275.4   297.3   314.3   335.5   364.9   416.3   575.3  2159.7  6001.0  30035.2    30035  1778240509242  1778240519346
read      257.2   165.8    93.8   152.2   164.5   233.4   270.3   292.4   309.4   330.1   358.8   407.3   572.0  2669.2  6249.4  30138.1    30040  1778240520861  1778240530965
read      258.1   233.8    93.8   153.7   166.1   235.1   272.7   294.9   312.2   333.4   362.6   411.4   567.2  1854.6  4826.0  29975.6    30045  1778240532479  1778240542580
read      252.7   131.1    93.8   152.3   164.3   231.9   268.2   289.8   306.1   326.0   353.9   400.5   545.5  1906.5  5035.3  29960.1    30050  1778240544093  1778240554196
read      256.7   129.9    93.8   151.3   164.6   237.1   274.7   296.7   313.9   334.6   362.7   408.6   534.2  1654.8  4842.9  30025.1    30055  1778240555712  1778240565822
read      257.8   109.6    93.8   151.4   165.3   241.5   279.9   302.2   318.1   339.1   367.1   411.1   515.0   765.1  4027.6  30022.1    30060  1778240567338  1778240577442
read      315.1   225.9    93.8   158.0   173.4   261.4   309.1   340.2   367.2   405.3   478.4   680.0  1249.0  2298.0  5103.1  30034.1    30065  1778240578956  1778240589058
read      256.2   109.7    93.8   154.0   167.4   239.2   276.4   298.2   314.8   335.0   361.9   404.1   505.8   816.3  4052.6  29946.3    30070  1778240590573  1778240600680
read      254.5   102.2    93.8   154.2   167.6   237.7   273.5   295.2   311.9   332.1   359.4   402.2   504.0   876.4  3168.0  30142.6    30075  1778240602194  1778240612298
read      250.3   113.7    93.8   151.1   163.6   232.7   268.8   290.0   305.9   325.0   352.1   396.4   503.4  1170.8  4121.2  30021.2    30080  1778240613811  1778240623915
read      242.7   101.2    93.8   151.3   163.3   227.6   260.8   280.2   294.4   312.2   335.7   372.9   468.9  1017.0  3647.7  30066.1    30085  1778240625429  1778240635533
read      242.5    97.3    93.8   149.6   161.9   228.2   261.9   281.1   295.3   313.1   336.4   372.7   469.5   807.8  3815.8  30088.2    30090  1778240637049  1778240647152
read      239.6   108.2    93.8   147.4   159.3   225.0   258.0   277.2   292.0   309.6   332.6   370.3   465.1   912.9  4172.2  30293.9    30095  1778240648666  1778240658769
read      243.3    98.5    93.8   151.4   163.9   228.9   262.0   281.2   295.2   312.9   336.3   373.1   466.2   744.1  4141.8  30122.7    30100  1778240660282  1778240670387
read      251.6   120.4    93.8   151.6   164.9   235.2   270.4   290.6   305.8   323.4   347.7   389.9   504.0  1458.1  3607.4  30076.0    30105  1778240671901  1778240682004
read      248.6   111.6    93.8   151.5   164.5   233.2   267.8   287.7   302.3   319.6   343.7   383.7   486.0   934.3  4336.4  30174.0    30110  1778240683516  1778240693617
read      260.3   107.7   101.3   156.0   169.5   242.8   280.8   303.0   319.2   340.3   368.4   413.9   521.4   963.1  4068.9  30070.6    30115  1778240695133  1778240705241
read      269.3   117.7    93.8   158.9   173.9   251.3   290.6   313.9   331.8   353.6   383.6   430.9   545.2   955.3  4174.1  30074.3    30120  1778240706755  1778240716880
read      268.2   105.1    93.8   160.5   175.0   252.0   290.6   313.1   330.2   351.0   379.2   425.1   529.0   840.3  3129.3  30014.5    30125  1778240718396  1778240728497
